Fluff and Angst,freq
Harry Potter,1041
Draco Malfoy,957
Sirius Black,652
Remus Lupin,628
Hermione Granger,567
Original Female Character,342
Severus Snape,281
Reader,184
James Potter,162
Lily Evans Potter,120
Ron Weasley,119
Ginny Weasley,96
Fred Weasley,94
none,90
Tom Riddle,83
Regulus Black,72
George Weasley,71
Luna Lovegood,64
Scorpius Malfoy,63
Pansy Parkinson,60
Albus Severus Potter,53
Neville Longbottom,51
Lucius Malfoy,47
Albus Dumbledore,42
Original Character,40
Gellert Grindelwald,39
Newt Scamander,39
Cedric Diggory,36
Bellatrix Black Lestrange,35
Voldemort,31
Oliver Wood,31
Narcissa Black Malfoy,30
Percy Weasley,30
Theodore Nott,26
Original Male Character,25
Original Percival Graves,24
James Sirius Potter,22
Nymphadora Tonks,22
Teddy Lupin,21
Charlie Weasley,21
Blaise Zabini,20
Tina Goldstein,20
Rose Weasley,18
Credence Barebone,18
Fleur Delacour,17
Marlene McKinnon,16
Andromeda Black Tonks,13
Bill Weasley,13
Minerva McGonagall,12
Seamus Finnigan,12
Astoria Greengrass,11
Dorcas Meadowes,10
Player Character,10
Victoire Weasley,9
Daphne Greengrass,9
James Bucky Barnes,9
Lavender Brown,8
Merula Snyde,8
Theseus Scamander,8
Dean Thomas,8
Keith,7
Lance (Voltron),7
Ted Tonks,7
Marcus Flint,7
Molly Weasley,6
Salazar Slytherin,6
Steve Rogers,6
Jeon Jungkook,6
Peter Pettigrew,6
Cho Chang,6
Padma Patil,5
Other,5
Loki ,5
Tony Stark,5
Penny Haywood,5
Godric Gryffindor,5
Percy Jackson,5
Viktor Krum,5
Sherlock Holmes,5
Nico di Angelo,5
Adrian Pucey,5
Rey,5
Caspian (Narnia),4
Fred Weasley II,4
Lily Evans,4
Harry Styles,4
Annabeth Chase,4
Mary Macdonald,4
Park Jimin,4
Petunia Evans Dursley,4
Colin Creevey,4
John Watson,4
Hannah Abbott,4
Merlin,4
Kylo Ren,4
Angelina Johnson,4
Justin Finch - Fletchley,3
Leo Knut,3
Arthur Weasley,3
Louis Tomlinson,3
Lee Jordan,3
