Fluff and Angst,freq
Draco Malfoy,152
Harry Potter,146
Hermione Granger,101
Severus Snape,59
Remus Lupin,36
Sirius Black,36
Original Female Character,30
Reader,17
Ron Weasley,15
Tom Riddle,13
Pansy Parkinson,11
Fred Weasley,9
George Weasley,7
Nymphadora Tonks,7
Original Percival Graves,7
Voldemort,7
Albus Dumbledore,6
Gellert Grindelwald,6
James Potter,6
Credence Barebone,6
Bellatrix Black Lestrange,6
Lucius Malfoy,6
Neville Longbottom,5
Cedric Diggory,4
Narcissa Black Malfoy,4
Original Male Character,4
Lily Evans Potter,4
Original Character,3
Theodore Nott,3
Charlie Weasley,3
James Sirius Potter,3
Luna Lovegood,3
Fleur Delacour,3
Newt Scamander,3
Regulus Black,3
Daphne Greengrass,3
Ginny Weasley,3
Percy Weasley,3
none,2
Min Yoongi | Suga,2
Bill Weasley,2
Harry Styles,2
Louis Tomlinson,2
Albus Severus Potter,2
Teddy Lupin,2
Blaise Zabini,2
Kyle Broflovski,1
Stan Marsh,1
Penny Haywood,1
Loki ,1
Millicent Bulstrode,1
Kim Namjoon | RM,1
Kim Seokjin | Jin,1
L,1
to be added as they occur,1
Dobby,1
Din Djarin,1
OMC,1
Severus Snape (One sided),1
Astoria Greengrass,1
Victoire Weasley,1
Ask Me,1
Girl Of Readerr Dreams,1
Kylo Ren,1
Rey,1
Draco,1
Player Character (Hogwarts Mystery),1
Other,1
Dick Grayson,1
Scorpius Malfoy,1
Marlene McKinnon,1
Big Bird,1
Elmo (Sesame Street),1
Jeon Jungkook,1
Luisa Alver,1
Rose Solano,1
Clint Barton,1
Rodolphus Lestrange,1
Loki Odinson,1
Thor Odinson,1
Loki,1
Darcy Lewis,1
Steve Rogers,1
Eren Yeager,1
Levi,1
