Fluff and Humor,freq
Harry Potter,599
Draco Malfoy,453
Hermione Granger,402
Sirius Black,231
Remus Lupin,208
Severus Snape,123
James Potter,109
Ron Weasley,91
Lily Evans Potter,83
Original Female Character,74
Tom Riddle,67
Ginny Weasley,63
none,50
Scorpius Malfoy,42
Fred Weasley,41
Reader,39
Albus Severus Potter,28
Pansy Parkinson,28
Voldemort,26
Original Percival Graves,26
George Weasley,21
Neville Longbottom,21
Luna Lovegood,19
Fleur Delacour,19
Credence Barebone,19
Rose Weasley,18
Albus Dumbledore,18
Oliver Wood,17
Percy Weasley,17
Charlie Weasley,14
Lucius Malfoy,12
Theodore Nott,11
Blaise Zabini,11
Original Male Character,11
Bellatrix Black Lestrange,11
Gellert Grindelwald,11
Original Character,10
Tina Goldstein,10
Nymphadora Tonks,9
Cedric Diggory,9
Newt Scamander,9
Teddy Lupin,9
Not A Romance - Relationship,7
Peter Pettigrew,7
Molly Weasley,7
Regulus Black,7
James Sirius Potter,7
Tony Stark,7
Andromeda Black Tonks,6
Marlene McKinnon,6
Minerva McGonagall,6
Arthur Weasley,6
Narcissa Black Malfoy,6
Daphne Greengrass,5
Katie Bell,5
Marcus Flint,5
Loki ,5
Lysander Scamander,5
Viktor Krum,5
Wèi Yīng | Wèi Wúxiàn,4
Astoria Greengrass,4
Dean Winchester,4
Lavender Brown,4
Lán Zhàn | Lán Wàngjī,3
Aziraphale,3
Crowley ,3
Nico di Angelo,3
Will Solace,3
Cho Chang,3
Kim Taehyung | V,3
Dorcas Meadowes,3
Parvati Patil,3
Gilderoy Lockhart,3
Bill Weasley,3
Victoire Weasley,3
Penny Haywood,3
Fenrir Greyback,2
Rowena Ravenclaw,2
Salazar Slytherin,2
Dean Thomas,2
Seamus Finnigan,2
Annabeth Chase,2
Percy Jackson,2
Bartemius Crouch Jr.,2
Peter Parker,2
Alec Lightwood,2
Magnus Bane,2
John Watson,2
Sherlock Holmes,2
Arthur Pendragon (Merlin),2
Merlin,2
Stiles Stilinski,2
Jeon Jungkook,2
Mary Macdonald,2
Rey,2
Eddie Kaspbrak,2
Richie Tozier,2
Lee Jordan,2
Luò Bīnghé,2
Shěn Yuán | Shěn Qīngqiū,2
James Bucky Barnes,2
