Fluff and Humor,freq
Draco Malfoy,57
Harry Potter,57
Hermione Granger,50
Severus Snape,16
Charlie Weasley,8
Original Female Character,8
Remus Lupin,8
Credence Barebone,8
Original Percival Graves,8
Tom Riddle,6
Ron Weasley,5
Sirius Black,5
Lucius Malfoy,4
Neville Longbottom,4
Pansy Parkinson,4
James Potter,3
Fred Weasley,3
Molly Weasley,3
Arthur Weasley,2
Voldemort,2
Theodore Nott,1
Harry Hart | Galahad,1
Dorcas Meadowes,1
Marlene McKinnon,1
Minerva McGonagall,1
Reader,1
Dobby,1
George Weasley,1
Other,1
Byun Baekhyun,1
Oh Sehun,1
James Sirius Potter,1
Romilda Vane,1
Hermoine Granger,1
Fleur Delacour,1
Lily Evans Potter,1
none,1
Rose Weasley,1
Scorpius Malfoy,1
Bellatrix Black Lestrange,1
Blaise Zabini,1
Ginny Weasley,1
Luisa Alver,1
Rose Solano,1
Cedric Diggory,1
Terry Boot,1
Albus Dumbledore,1
Gellert Grindelwald,1
