Fluff and Smut,freq
Draco Malfoy,626
Hermione Granger,603
Harry Potter,538
Severus Snape,195
Sirius Black,185
Remus Lupin,184
Original Female Character,162
Reader,113
Ron Weasley,65
Fred Weasley,56
Ginny Weasley,54
Pansy Parkinson,45
George Weasley,40
Tom Riddle,37
Charlie Weasley,36
James Potter,35
Original Percival Graves,34
Lucius Malfoy,33
Credence Barebone,31
Neville Longbottom,30
Theodore Nott,30
Bellatrix Black Lestrange,29
Scorpius Malfoy,27
Newt Scamander,25
Lily Evans Potter,25
Luna Lovegood,21
Narcissa Black Malfoy,20
Albus Dumbledore,19
Voldemort,18
Gellert Grindelwald,16
none,14
Albus Severus Potter,12
Original Male Character,11
Bill Weasley,11
Tina Goldstein,11
Oliver Wood,10
Nymphadora Tonks,10
Blaise Zabini,10
Rose Weasley,10
Original Character,10
Fleur Delacour,8
Other,7
Cedric Diggory,7
Percy Weasley,7
Regulus Black,7
Daphne Greengrass,6
Viktor Krum,6
Teddy Lupin,6
Cormac McLaggen,6
Seamus Finnigan,5
Tony Stark,5
James Sirius Potter,5
Molly Weasley,5
Kylo Ren,4
Player Character (Hogwarts Mystery),4
Dean Winchester,4
Lily Luna Potter,4
Arthur Weasley,4
Andromeda Black Tonks,3
Helena Ravenclaw,3
Millicent Bulstrode,3
Dean Thomas,3
Rey,3
Astoria Greengrass,3
Bartemius Crouch Jr.,3
Antonin Dolohov,3
Minerva McGonagall,3
Theseus Scamander,3
Min Yoongi | Suga,2
Jae Kim,2
Marcus Flint,2
Anakin Skywalker,2
Victoire Weasley,2
Susan Bones,2
Thorfinn Rowle,2
Draco,2
Loki ,2
Finn O&#39;Hara,2
Leo Knut,2
Colin Farrell,2
Asami Ryuichi,2
Jeon Jungkook,2
Barnaby Lee,2
Beast,2
Beauty (Beauty and the Beast),2
Hugo Weasley,2
Ron Weasley (past),1
Grail Ashford,1
Female Harry Potter x George Weasley,1
Ginny Weasly,1
Orion Black,1
Walburga Black,1
enemies to lovers - Relationship,1
Harry Hart | Galahad,1
Mary Macdonald,1
Caspian Wood,1
Dallas Fox,1
Wyatt Snow,1
James,1
Sirius,1
Kim Namjoon | RM,1
