Fluff and Smut,freq
Hermione Granger,428
Draco Malfoy,408
Harry Potter,376
Severus Snape,134
Remus Lupin,121
Sirius Black,118
Original Female Character,78
Reader,52
Ron Weasley,44
Pansy Parkinson,35
Ginny Weasley,32
Original Percival Graves,31
Charlie Weasley,30
Fred Weasley,30
Theodore Nott,28
Credence Barebone,28
Neville Longbottom,25
Tom Riddle,23
Lucius Malfoy,21
Albus Dumbledore,17
Bellatrix Black Lestrange,17
George Weasley,16
Gellert Grindelwald,15
Newt Scamander,15
James Potter,15
Narcissa Black Malfoy,15
Scorpius Malfoy,15
Luna Lovegood,13
Voldemort,11
Original Male Character,9
Albus Severus Potter,9
Bill Weasley,8
Lily Evans Potter,8
Original Character,7
Blaise Zabini,7
Nymphadora Tonks,6
Cormac McLaggen,6
Viktor Krum,5
Oliver Wood,5
Fleur Delacour,5
Rose Weasley,5
Teddy Lupin,5
Other,4
Daphne Greengrass,4
Cedric Diggory,4
Player Character (Hogwarts Mystery),4
Seamus Finnigan,4
Percy Weasley,4
James Sirius Potter,4
Tina Goldstein,4
Regulus Black,3
Dean Winchester,3
Theseus Scamander,3
Min Yoongi | Suga,2
Jae Kim,2
Marcus Flint,2
Anakin Skywalker,2
Victoire Weasley,2
Susan Bones,2
Helena Ravenclaw,2
Dean Thomas,2
Andromeda Black Tonks,2
Thorfinn Rowle,2
Kylo Ren,2
Rey,2
Lily Luna Potter,2
Loki ,2
Bartemius Crouch Jr.,2
Antonin Dolohov,2
Colin Farrell,2
Asami Ryuichi,2
Astoria Greengrass,2
none,2
Arthur Weasley,2
Jeon Jungkook,2
Barnaby Lee,2
Molly Weasley,2
Ron Weasley (past),1
Orion Black,1
Walburga Black,1
Harry Hart | Galahad,1
James,1
Sirius,1
Kim Namjoon | RM,1
Kim Seokjin | Jin,1
Rowena Ravenclaw,1
Slytherin Students,1
Gilderoy Lockhart,1
Prince Charmont (Ella Enchanted),1
Clay | Dream,1
GeorgeNotFound (Video Blogging RPF),1
harry potter x reader - Relationship,1
Amity Blight,1
Luz Noceda,1
Dobby,1
The Bloody Baron,1
Richard Winters,1
Millicent Bulstrode,1
Hans Gruber,1
myself,1
OMC,1
