Fluff,freq
Harry Potter,4189
Draco Malfoy,3655
Hermione Granger,2468
Sirius Black,1985
Remus Lupin,1923
Severus Snape,822
Reader,675
James Potter,646
Original Female Character,567
Lily Evans Potter,469
Ginny Weasley,451
Ron Weasley,398
Fred Weasley,368
Luna Lovegood,329
Scorpius Malfoy,321
none,305
Tom Riddle,303
Albus Severus Potter,268
George Weasley,209
Neville Longbottom,209
Pansy Parkinson,192
Newt Scamander,169
Voldemort,142
Oliver Wood,135
Percy Weasley,126
Charlie Weasley,116
Regulus Black,110
Lucius Malfoy,109
Theodore Nott,108
Bellatrix Black Lestrange,107
Albus Dumbledore,101
Fleur Delacour,97
Gellert Grindelwald,96
Cedric Diggory,94
Teddy Lupin,94
Blaise Zabini,89
Original Percival Graves,84
James Sirius Potter,78
Nymphadora Tonks,77
Original Character,73
Narcissa Black Malfoy,73
Tina Goldstein,60
Original Male Character,51
Rose Weasley,49
Marcus Flint,49
Minerva McGonagall,45
Viktor Krum,44
Daphne Greengrass,43
Dean Thomas,42
Bill Weasley,42
Seamus Finnigan,40
Marlene McKinnon,39
Astoria Greengrass,38
Lavender Brown,38
Andromeda Black Tonks,32
Credence Barebone,31
Molly Weasley,30
Peter Pettigrew,28
Arthur Weasley,27
Dorcas Meadowes,26
Leo Knut,25
Cho Chang,24
Theseus Scamander,24
wolfstar - Relationship,23
Player Character,23
Victoire Weasley,22
Tony Stark,22
Steve Rogers,20
Finn O&#39;Hara,20
Loki ,20
Katie Bell,20
Sherlock Holmes,18
James Bucky Barnes,18
Lily Luna Potter,18
Hannah Abbott,17
Angelina Johnson,17
Padma Patil,17
Parvati Patil,16
Millicent Bulstrode,16
Rey,16
Logan Tremblay (lumosinlove),15
Dean Winchester,15
Leta Lestrange,15
John Watson,14
Dudley Dursley,14
Jeon Jungkook,14
Jacob Kowalski,14
Salazar Slytherin,13
Lee Jordan,12
Ted Tonks,12
Kim Taehyung | V,12
Lily Evans,12
Min Yoongi | Suga,12
Percy Jackson,12
Nico di Angelo,12
Merula Snyde,12
Kylo Ren,12
Aziraphale,11
Crowley ,11
Park Jimin,11
Castiel,11
