Friends to Lovers,freq
Harry Potter,705
Draco Malfoy,596
Hermione Granger,546
Sirius Black,481
Remus Lupin,446
Original Female Character,324
Reader,159
James Potter,153
Severus Snape,121
Fred Weasley,121
Scorpius Malfoy,117
Lily Evans Potter,110
Ron Weasley,95
Albus Severus Potter,90
George Weasley,88
Ginny Weasley,64
Neville Longbottom,63
Luna Lovegood,56
Charlie Weasley,46
Original Character,40
Regulus Black,39
Tom Riddle,38
Teddy Lupin,38
James Sirius Potter,33
Oliver Wood,32
Pansy Parkinson,31
Theodore Nott,29
Seamus Finnigan,28
Original Male Character,25
Cedric Diggory,24
Dean Thomas,24
Rose Weasley,23
Percy Weasley,21
Lavender Brown,19
none,18
Newt Scamander,17
Nymphadora Tonks,17
Bill Weasley,17
Parvati Patil,14
Victoire Weasley,14
Albus Dumbledore,14
Minerva McGonagall,14
Blaise Zabini,14
Marlene McKinnon,13
Voldemort,11
Narcissa Black Malfoy,11
Andromeda Black Tonks,10
Lily Luna Potter,10
Astoria Greengrass,10
Gellert Grindelwald,10
Bellatrix Black Lestrange,9
Lucius Malfoy,9
Viktor Krum,9
Dorcas Meadowes,9
Daphne Greengrass,9
Cormac McLaggen,9
Fleur Delacour,8
Tina Goldstein,7
Marcus Flint,7
Credence Barebone,7
Peter Pettigrew,6
Mary Macdonald,6
Cho Chang,6
Alice Longbottom,5
Player Character,5
Lee Jordan,5
Other,5
Rey,5
Dominique Weasley,5
Lily Evans,4
Molly Weasley,4
John Watson,4
Sherlock Holmes,4
Loki ,4
Emmeline Vance,4
Ernie Macmillan,4
Padma Patil,4
Susan Bones,4
Leta Lestrange,4
Theseus Scamander,4
Jeon Jungkook,4
Original Percival Graves,4
Gregory Goyle,4
Kylo Ren,4
Fred Weasley II,3
Nico di Angelo,3
Arthur Weasley,3
wolfstar - Relationship,3
Adrian Pucey,3
Hannah Abbott,3
Rolf Scamander,3
Bartemius Crouch Jr.,3
Alicia Spinnet,3
Millicent Bulstrode,3
Nagini,3
Penny Haywood,3
Hugo Weasley,3
Angelina Johnson,2
Clay | Dream,2
GeorgeNotFound (Video Blogging RPF),2
Frank Longbottom,2
