Friendship,freq
Harry Potter,57
Draco Malfoy,47
Hermione Granger,42
Severus Snape,28
Original Female Character,18
Sirius Black,14
Remus Lupin,13
none,8
Tom Riddle,7
Neville Longbottom,6
Ginny Weasley,6
Charlie Weasley,5
James Potter,5
Lily Evans Potter,5
Fred Weasley,4
Ron Weasley,4
Voldemort,4
Pansy Parkinson,4
Scorpius Malfoy,3
Lily Evans,3
Bill Weasley,3
Reader,2
George Weasley,2
Wang Yi Bo,1
Xiao Zhan | Sean,1
Harry Hart | Galahad,1
James,1
Sirius,1
Millicent Bulstrode,1
Theodore Nott,1
James Sirius Potter,1
Newt Scamander,1
Original Percival Graves,1
Kingsley Shacklebolt,1
Original Character,1
Thorfinn Rowle,1
daenerys targaryen,1
dorian havilliard,1
Loki ,1
Fenrir Greyback,1
Blaise Zabini,1
Marlene McKinnon,1
Cormac McLaggen,1
Albus Dumbledore,1
Gellert Grindelwald,1
Luna Lovegood,1
Albus Severus Potter,1
James Bucky Barnes,1
Jethro Gibbs,1
Regulus Black,1
Bartemius Crouch Jr.,1
Astoria Greengrass,1
