Getting Together,freq
Harry Potter,727
Draco Malfoy,574
Sirius Black,468
Remus Lupin,373
James Potter,142
Severus Snape,88
Hermione Granger,80
Scorpius Malfoy,73
Albus Severus Potter,57
Lily Evans Potter,48
Ginny Weasley,39
Oliver Wood,31
Ron Weasley,28
Luna Lovegood,25
Reader,22
George Weasley,21
James Sirius Potter,20
Teddy Lupin,20
Percy Weasley,20
Neville Longbottom,20
Pansy Parkinson,19
Regulus Black,18
Tom Riddle,17
Charlie Weasley,17
Fred Weasley,14
Marcus Flint,12
Voldemort,12
Newt Scamander,9
Original Percival Graves,9
Blaise Zabini,9
none,8
Drarry - Relationship,8
Original Female Character,8
Cho Chang,8
Nymphadora Tonks,8
Cedric Diggory,7
Bill Weasley,7
Fleur Delacour,6
Theodore Nott,6
Marlene McKinnon,5
Dean Thomas,5
Seamus Finnigan,5
Credence Barebone,4
Theseus Scamander,4
Narcissa Black Malfoy,4
Percy Jackson,3
Viktor Krum,3
Dorcas Meadowes,3
Lee Jordan,3
Albus Dumbledore,3
Lily Luna Potter,3
Angelina Johnson,3
Minerva McGonagall,3
Rose Weasley,3
Finn O&#39;Hara,3
Logan Tremblay,3
Lysander Scamander,2
Lucius Malfoy,2
Peter Pettigrew,2
Terence Higgs,2
Evan Rosier,2
Keith,2
Roger Davies,2
Albus Severus Potter - Weasley,2
James Sirius Potter - Weasley,2
Kingsley Shacklebolt,2
Leo Knut,2
Astoria Greengrass,2
Dudley Dursley,2
Bartemius Crouch Jr.,2
Dazai Osamu,2
Nakahara Chuuya (Bungou Stray Dogs),2
Steve Rogers,2
Tina Goldstein,2
Alice Longbottom,1
Luke Deveaux,1
Saint (lumosinlove),1
Frank Zhang,1
Spencer Reid,1
Daphne Greengrass,1
OMC,1
Gellert Grindelwald,1
Damian Wayne,1
Annabeth Chase,1
Rubeus Hagrid,1
Shiro (Voltron),1
Petunia Evans Dursley,1
Female Voldemort,1
Robb Stark,1
Theon Greyjoy,1
o&#39;knutzy - Relationship,1
Alicia Spinnet,1
Lyanna Stark,1
Rhaegar Targaryen,1
Jesper Fahey,1
Wylan Van Eck,1
Padma Patil,1
Millicent Bulstrode,1
Jason Grace,1
Aldon Rosier,1
Ianto Jones,1
