Getting Together,freq
Harry Potter,175
Draco Malfoy,128
Sirius Black,49
Remus Lupin,45
Severus Snape,29
Scorpius Malfoy,17
Hermione Granger,15
Albus Severus Potter,11
Teddy Lupin,8
Ron Weasley,7
James Potter,7
Neville Longbottom,7
James Sirius Potter,5
Charlie Weasley,5
Drarry - Relationship,4
Original Percival Graves,4
Ginny Weasley,4
Pansy Parkinson,4
Reader,4
Original Female Character,3
George Weasley,3
Tom Riddle,3
Bill Weasley,2
Nymphadora Tonks,2
Newt Scamander,2
Blaise Zabini,2
Theodore Nott,2
Credence Barebone,2
Lily Evans Potter,2
Frank Zhang,1
Percy Jackson,1
Marlene McKinnon,1
Daphne Greengrass,1
OMC,1
Padma Patil,1
Albus Severus Potter - Weasley,1
James Sirius Potter - Weasley,1
Voldemort,1
Finn O&#39;Hara,1
Leo Knut,1
Logan Tremblay,1
Lavender Brown,1
Desmond Miles,1
Dean Thomas,1
Seamus Finnigan,1
Aziraphale,1
Crowley ,1
Scabior,1
Abraxas Malfoy,1
Luna Lovegood,1
Narcissa Black Malfoy,1
Albus Dumbledore,1
Theseus Scamander,1
Oliver Wood,1
Percy Weasley,1
Viktor Krum,1
Jade Thirlwall,1
Perrie Edwards,1
