Good Draco Malfoy,freq
Draco Malfoy,762
Harry Potter,479
Hermione Granger,229
Original Female Character,72
none,60
Severus Snape,47
Reader,36
Ron Weasley,26
Sirius Black,19
Luna Lovegood,18
Remus Lupin,18
Lucius Malfoy,15
Original Character,15
Blaise Zabini,14
Astoria Greengrass,13
Ginny Weasley,13
Narcissa Black Malfoy,11
Theodore Nott,11
Fred Weasley,10
George Weasley,10
Tom Riddle,10
Neville Longbottom,9
Original Male Character,8
Other,7
Lily Evans Potter,7
Pansy Parkinson,7
James Potter,6
Albus Severus Potter,6
Scorpius Malfoy,6
Cedric Diggory,5
Voldemort,5
Bellatrix Black Lestrange,4
Daphne Greengrass,4
dramione,4
Percy Jackson,3
Nico di Angelo,3
Daryl Dixon,2
Annabeth Chase,2
Andromeda Black Tonks,2
Other Relationship Tags to Be Added,2
Slytherin Students,2
Drarry - Relationship,2
Vincent Crabbe,2
Lily Luna Potter,2
Will Solace,2
Dudley Dursley,2
Harem,2
Celeste Lillian Potter (OFC),2
Hadrian &#39;Harry&#39; James Potter,2
Peter Parker,2
Rodolphus Lestrange,1
Max Fried,1
Regulus Black,1
Tony Stark,1
Rose Holmes,1
Hannah Abbott,1
Relationships to be added,1
they are children,1
Tags will be added as they appear - Relationship,1
Lady Magic,1
Lee Jordan,1
Lavender Brown,1
Charlie Weasley,1
Stiles Stilinski,1
Terry Boot,1
Draco Malefoy,1
Daisy Potter,1
Kylie Ford,1
Merope Gaunt,1
Tom Riddle Sr.,1
Loki,1
Thor ,1
draco,1
hermione,1
lucius,1
Spencer Reid,1
Evan Rosier,1
Lucy Heartfilia,1
Natsu Dragneel,1
Severus Snape (One sided),1
Bartemius Crouch Jr.,1
Jasper Hale,1
Nymphadora Tonks,1
Otro,1
Bill Weasley,1
Hufflepuff Students,1
Jareth,1
Sarah Williams,1
Dean Thomas,1
Black!Reader,1
Gregory Goyle,1
Original Character|Original Character,1
Maybe Later,1
No sure yet lets see how this goes,1
Petunia Evans Dursley,1
Albus Dumbledore,1
Gellert Grindelwald,1
Jason Grace,1
Piper McLean,1
Marcus Flint,1
Oliver Wood,1
