Good Draco Malfoy,freq
Draco Malfoy,90
Harry Potter,53
Hermione Granger,51
Severus Snape,11
Original Female Character,5
Ron Weasley,3
Sirius Black,2
Remus Lupin,2
Voldemort,2
Original Character,2
Bellatrix Black Lestrange,2
none,2
Daryl Dixon,1
Neville Longbottom,1
Pansy Parkinson,1
Loki,1
Thor ,1
Lucy Heartfilia,1
Natsu Dragneel,1
Ginny Weasley,1
Lucius Malfoy,1
Severus Snape (One sided),1
Bartemius Crouch Jr.,1
Tom Riddle,1
Black!Reader,1
Theodore Nott,1
Harem,1
Lily Luna Potter,1
Mulciber,1
Lily Evans Potter,1
Astoria Greengrass,1
Emmett Cullen,1
Original Male Character,1
