Good Slytherins,freq
Harry Potter,245
Draco Malfoy,208
Hermione Granger,86
Original Female Character,84
none,74
Severus Snape,60
Sirius Black,29
James Potter,26
Tom Riddle,25
Lily Evans Potter,25
Remus Lupin,24
Original Character,22
Fred Weasley,19
Original Male Character,19
Regulus Black,17
Voldemort,17
George Weasley,16
Pansy Parkinson,13
Blaise Zabini,13
Theodore Nott,12
Narcissa Black Malfoy,11
Daphne Greengrass,11
Ron Weasley,11
Astoria Greengrass,10
Lucius Malfoy,10
Luna Lovegood,8
Scorpius Malfoy,8
Bellatrix Black Lestrange,7
Ginny Weasley,7
Albus Severus Potter,7
Reader,6
Fenrir Greyback,3
Petunia Evans Dursley,3
Charlie Weasley,3
Nico di Angelo,3
Will Solace,3
Neville Longbottom,3
Lily Evans,3
Cedric Diggory,3
Anakin Skywalker,2
Other Relationship Tags to Be Added,2
Nymphadora Tonks,2
Vernon Dursley,2
Marcus Flint,2
Nizar Slytherin,2
Tracey Davis,2
Oliver Wood,2
none yet,2
Arthur Weasley,2
Molly Weasley,2
Orignal Character,2
Bill Weasley,2
Andromeda Black Tonks,2
Derek Hale,2
Stiles Stilinski,2
Celeste Lillian Potter (OFC),2
Hadrian &#39;Harry&#39; James Potter,2
Viktor Krum,2
Thorfinn Rowle,2
Merula Snyde,2
Justin Finch - Fletchley,1
Morag MacDougal,1
Rose Holmes,1
Past Lily Evens Potter,1
no they are children,1
Padmé Amidala,1
Relationships TBA,1
Eventual Ginny Weasley,1
Hestia Carrow,1
Relationships to be added,1
Dean Thomas,1
Seamus Finnigan,1
Loki,1
Thor ,1
Charlus Potter,1
Dorea Black Potter,1
Undecided,1
Tags will be added as they appear - Relationship,1
pepperony,1
Uzumaki Naruto,1
they&#39;re eleven,1
Elizabetha Fleamont,1
Henry Potter,1
Cho Chang,1
Other,1
they are children!,1
Bartemius Crouch Jr.,1
Past James Potter,1
Dean Winchester,1
Adrien Agreste | Chat Noir,1
Marinette Dupain - Cheng | Ladybug,1
Bathsheda Babbling,1
Draco Malfoy (in later stories),1
Sheriff of Nottingham,1
fred weasley x reader - Relationship,1
Albus Dumbledore,1
Mafalda Prewett,1
Bellatrix Black,1
Felicity Riddle,1
Evie,1
Mal (Disney),1
