Happy Ending,freq
Harry Potter,664
Draco Malfoy,614
Hermione Granger,253
Sirius Black,250
Remus Lupin,239
Severus Snape,134
Original Female Character,61
James Potter,53
Reader,41
Ginny Weasley,36
Luna Lovegood,33
Pansy Parkinson,33
Neville Longbottom,32
Voldemort,32
Ron Weasley,32
Lily Evans Potter,30
Tom Riddle,27
none,26
George Weasley,22
Regulus Black,21
Fred Weasley,20
Scorpius Malfoy,20
Charlie Weasley,18
Oliver Wood,16
Albus Severus Potter,16
Lucius Malfoy,16
Newt Scamander,16
Original Percival Graves,12
James Sirius Potter,12
Teddy Lupin,12
Cedric Diggory,10
Credence Barebone,9
Blaise Zabini,9
Percy Weasley,9
Albus Dumbledore,8
Gellert Grindelwald,7
Nymphadora Tonks,7
Theseus Scamander,7
Theodore Nott,6
Original Character,6
Narcissa Black Malfoy,6
Astoria Greengrass,6
Loki ,5
Daphne Greengrass,5
Tony Stark,5
Padma Patil,5
Viktor Krum,5
Lily Luna Potter,5
Marcus Flint,5
Molly Weasley,5
Thorfinn Rowle,5
Other,4
Bill Weasley,4
Lavender Brown,4
Bellatrix Black Lestrange,4
Dean Thomas,4
Tina Goldstein,4
Caspian (Narnia),3
Park Jimin,3
Anakin Skywalker,3
Parvati Patil,3
Petunia Evans Dursley,3
Andromeda Black Tonks,3
Jeon Jungkook,3
Cho Chang,3
Seamus Finnigan,3
Minerva McGonagall,3
Dean Winchester,3
Marlene McKinnon,2
James Bucky Barnes,2
Original Male Character,2
Arthur Pendragon (Merlin),2
Merlin,2
Abraxas Malfoy,2
wolfstar - Relationship,2
Finn O&#39;Hara,2
Leo Knut,2
Logan Tremblay (lumosinlove),2
Jon Snow,2
Peter Pettigrew,2
Millicent Bulstrode,2
Dudley Dursley,2
Steve Rogers,2
Ted Tonks,2
Rose Weasley,2
Kim Namjoon | RM,2
Kim Seokjin | Jin,2
Kylo Ren,2
Rey,2
Gabrielle Delacour,2
Adrian Pucey,2
Ginevra Weasley,2
Pepper Potts,2
Lán Zhàn | Lán Wàngjī,1
Wèi Yīng | Wèi Wúxiàn,1
Rabastan Lestrange,1
Hermine Granger,1
Min Yoongi | Suga,1
Hannibal Lecter,1
Will Graham,1
Hestia Carrow,1
