Happy Ending,freq
Harry Potter,160
Draco Malfoy,156
Hermione Granger,77
Severus Snape,39
Sirius Black,37
Remus Lupin,28
Original Female Character,9
Tom Riddle,8
Voldemort,8
Pansy Parkinson,7
Neville Longbottom,6
Charlie Weasley,6
Ron Weasley,5
George Weasley,5
Scorpius Malfoy,5
Lily Evans Potter,4
Ginny Weasley,4
James Potter,4
Albus Severus Potter,4
Lucius Malfoy,3
Credence Barebone,3
Original Percival Graves,3
Loki ,3
Luna Lovegood,2
Fred Weasley,2
Narcissa Black Malfoy,2
Nymphadora Tonks,2
Oliver Wood,2
Percy Weasley,2
James Sirius Potter,2
Teddy Lupin,2
Hermine Granger,1
Hannibal Lecter,1
Will Graham,1
May Parker (Spider - Man),1
Bill Weasley,1
Godric Gryffindor,1
Viktor Krum,1
Theodore Nott,1
Susan Bones,1
Carlisle Cullen,1
Jeon Jungkook,1
Park Jimin,1
Anakin Skywalker,1
Obi - Wan Kenobi,1
Byun Baekhyun,1
Oh Sehun,1
Astoria Greengrass,1
Steve Rogers,1
Marcus Flint,1
Reader x snape,1
Dean Thomas,1
Plant,1
Damon Salvatore,1
Jasper Hale,1
Reader,1
Abraxas Malfoy,1
George Foyet (Criminal minds),1
Castiel,1
Dean Winchester,1
Bellatrix Black Lestrange,1
