Harry Potter Epilogue What Epilogue / EWE,freq
Draco Malfoy,2618
Harry Potter,2153
Hermione Granger,1620
Severus Snape,278
Ginny Weasley,116
Ron Weasley,115
Pansy Parkinson,111
none,79
Luna Lovegood,76
Neville Longbottom,74
Theodore Nott,62
Fred Weasley,61
Charlie Weasley,54
Lucius Malfoy,48
Sirius Black,46
Original Female Character,35
Remus Lupin,34
Blaise Zabini,28
George Weasley,28
Tom Riddle,27
Daphne Greengrass,21
Viktor Krum,21
Narcissa Black Malfoy,21
Percy Weasley,21
Voldemort,18
Oliver Wood,17
Astoria Greengrass,13
Lavender Brown,12
Original Male Character,11
Cho Chang,10
Fleur Delacour,10
Bill Weasley,9
Nymphadora Tonks,9
Albus Dumbledore,9
Teddy Lupin,8
Cormac McLaggen,8
Millicent Bulstrode,8
Bellatrix Black Lestrange,8
Reader,7
Andromeda Black Tonks,7
Albus Severus Potter,7
Kingsley Shacklebolt,7
Antonin Dolohov,6
Susan Bones,6
James Potter,6
Seamus Finnigan,6
Dean Thomas,6
Tony Stark,5
Marcus Flint,5
Minor or Background Relationship,5
Gregory Goyle,5
Dean Winchester,5
Anthony Goldstein,5
Steve Rogers,4
Lily Evans Potter,4
Scorpius Malfoy,4
Peter Hale,3
Loki ,3
James Sirius Potter,3
Edward Cullen,3
Percy Jackson,3
Padma Patil,3
Parvati Patil,3
James Bucky Barnes,3
Reborn (Katekyou Hitman Reborn!),2
Harry,2
Lily Luna Potter,2
Katie Bell,2
Minerva McGonagall,2
Regulus Black,2
Arthur Pendragon (Merlin),2
Merlin,2
Cedric Diggory,2
Original Character,2
Jacob Black,2
Rubeus Hagrid,2
Kylo Ren,2
Rey,2
Everyone,2
Dudley Dursley,2
Rolf Scamander,2
Caspian (Narnia),1
Shane Walsh,1
Aizawa Shouta,1
Fred Weasley II,1
Female Harry Potter,1
Eventual Ginny Weasley,1
Jethro Gibbs,1
Ginny,1
Dobby,1
bill Weasley,1
pre Hermione Granger,1
Ginny Weasley (One - sided),1
Gilderoy Lockhart,1
Petunia Evans Dursley,1
Victoire Weasley,1
Thor ,1
draco,1
hermione,1
lucius,1
Spencer Reid,1
