Harry Potter Epilogue What Epilogue / EWE,freq
Draco Malfoy,768
Hermione Granger,539
Harry Potter,529
Severus Snape,98
Pansy Parkinson,36
Neville Longbottom,32
Ron Weasley,30
Lucius Malfoy,25
Theodore Nott,24
Sirius Black,17
Remus Lupin,17
Ginny Weasley,16
Charlie Weasley,16
Luna Lovegood,14
Fred Weasley,11
Narcissa Black Malfoy,11
Viktor Krum,9
Blaise Zabini,8
Tom Riddle,7
George Weasley,7
Original Female Character,6
Bellatrix Black Lestrange,6
Daphne Greengrass,5
Bill Weasley,5
Original Male Character,5
Cormac McLaggen,5
Teddy Lupin,4
Voldemort,4
Albus Dumbledore,4
Antonin Dolohov,3
Reader,3
Marcus Flint,3
Susan Bones,3
Lavender Brown,3
Percy Weasley,3
Dean Winchester,3
Oliver Wood,2
Gregory Goyle,2
Original Character,2
Nymphadora Tonks,2
James Potter,2
none,2
Seamus Finnigan,2
Padma Patil,2
Kingsley Shacklebolt,2
Jethro Gibbs,1
bill Weasley,1
Minerva McGonagall,1
Gilderoy Lockhart,1
Millicent Bulstrode,1
Orion Black,1
Rose Weasley,1
Scorpius Malfoy,1
Romilda Vane,1
Lily Evans Potter,1
Rick Grimes,1
Aragorn | Estel,1
Nick Fury,1
Dean Thomas,1
Kylo Ren,1
Rey,1
Astoria Greengrass,1
Parvati Patil,1
Tsu&#39;tey te Rongloa Ateyitan,1
Multi,1
Angelina Johnson,1
Fleur Delacour,1
Lance Sweets,1
Nott Sr.,1
Salazar Slytherin,1
Corban Yaxley,1
James Sirius Potter,1
Steve Rogers,1
Draco,1
Harry,1
Kreacher (House Elf),1
Ronan (Centaur),1
Draco Malfoy - Relationship,1
Rubeus Hagrid,1
