Harry Potter Next Generation,freq
Scorpius Malfoy,203
Albus Severus Potter,139
none,111
Harry Potter,102
James Sirius Potter,97
Teddy Lupin,85
Rose Weasley,83
Draco Malfoy,53
Ginny Weasley,50
Lily Luna Potter,46
Original Female Character,37
Victoire Weasley,29
Hermione Granger,27
Original Male Character,25
Original Character,18
Ron Weasley,15
Hugo Weasley,14
Remus Lupin,10
Lorcan Scamander,10
Lysander Scamander,9
Dominique Weasley,8
Percy Weasley,7
James Potter,6
Sirius Black,6
Molly Weasley II,6
Luna Lovegood,5
Lily Evans Potter,4
Severus Snape,4
George Weasley,4
Neville Longbottom,4
Lucy Weasley,4
Louis Weasley,3
No Romantic Relationship,3
Original Non - Binary Character,3
John Watson,3
Sherlock Holmes,3
Oliver Wood,3
Cho Chang,3
Audrey Weasley,3
Fred Weasley II,2
Alice Longbottom,2
Nymphadora Tonks,2
Fred Weasley,2
Charlie Weasley,2
Angelina Johnson,2
Arthur Weasley,2
Pansy Parkinson,2
Andromeda Black Tonks,2
Minor or Background Relationship,2
Voldemort,2
Other,1
oc,1
professor,1
Beca Mitchell,1
Stiles Slytherin,1
The Hippie | JC Caylen,1
The Investigative Reporter | Safiya Nygaard,1
Livia Blackthorn,1
Lyla Zabini,1
Marcus Flint,1
Dudley Dursley,1
Boyfriends - Relationship,1
Benny Watts,1
Daphne Greengrass,1
Katie Bell,1
Albus,1
Sung Jin - Woo,1
Park Jongseong | Jay,1
Yang Jungwon,1
Lán Huàn | Lán Xīchén,1
Mèng Yáo | Jīn Guāngyáo,1
Anthony Goldstein,1
scorbus - Relationship,1
Molly Weasley,1
Bill Weasley,1
Hannah Abbott,1
Lavender Brown,1
Original Female Character (OFC),1
Lucius Malfoy,1
Cedric Diggory,1
Delphini Black,1
Peter Pettigrew,1
backgroud Harry Potter,1
Alice Longbottom II,1
Hermione Granger - Weasley,1
Rose Granger - Weasley,1
Ted Tonks,1
Astoria Greengrass,1
Past Scorpius Malfoy,1
Rose Weasley - Relationship,1
I don’t think there are any in this installment but there will be in later ones!,1
Harry Potter Characters,1
Regulus Black,1
Adrien Agreste | Chat Noir,1
Marinette Dupain - Cheng | Ladybug,1
Polly Chapman,1
Yann Fredericks,1
Marlene McKinnon,1
Everleigh Wood (Original Character),1
Albus Dumbledore,1
Gellert Grindelwald,1
