Harry Potter Next Generation,freq
Scorpius Malfoy,25
James Sirius Potter,24
Teddy Lupin,23
Albus Severus Potter,20
Harry Potter,13
Lily Luna Potter,11
Draco Malfoy,10
Rose Weasley,8
Original Male Character,5
Victoire Weasley,4
Original Character,3
Ron Weasley,2
James Potter,1
Original Female Character,1
Katie Bell,1
Ginny Weasley,1
Sung Jin - Woo,1
John Watson,1
Sherlock Holmes,1
Alice Longbottom,1
Lavender Brown,1
Charlie Weasley,1
Oliver Wood,1
Original Female Character (OFC),1
Hugo Weasley,1
Lucius Malfoy,1
Delphini Black,1
none,1
Neville Longbottom,1
Hermione Granger,1
Sirius Black,1
Dominique Weasley,1
