Hogwarts Eighth Year,freq
Draco Malfoy,413
Harry Potter,275
Hermione Granger,206
Severus Snape,31
Theodore Nott,14
Pansy Parkinson,12
Ron Weasley,12
Neville Longbottom,9
Blaise Zabini,5
Original Female Character,5
Luna Lovegood,5
Remus Lupin,5
Charlie Weasley,4
Reader,4
Ginny Weasley,4
Seamus Finnigan,4
Sirius Black,3
none,3
Dean Thomas,2
Tom Riddle,2
Viktor Krum,2
Narcissa Black Malfoy,2
Lavender Brown,1
Thorfinn Rowle,1
Lucius Malfoy,1
Mary Macdonald,1
Dobby,1
Millicent Bulstrode,1
Original Character,1
Percy Weasley,1
Ernie Macmillan,1
Hannah Abbott,1
Gladio | Gladion,1
Harry Styles,1
Louis Tomlinson,1
Susan Bones,1
Aurora Sinistra,1
Anthony Goldstein,1
Michael Corner,1
Gregory Goyle,1
Fem! Harry Potter,1
