Hogwarts Sixth Year,freq
Draco Malfoy,364
Harry Potter,278
Hermione Granger,177
Sirius Black,98
Remus Lupin,82
Original Female Character,71
Ron Weasley,40
James Potter,39
none,39
Lily Evans Potter,35
Severus Snape,32
Pansy Parkinson,24
Ginny Weasley,24
Reader,22
Scorpius Malfoy,19
Fred Weasley,18
Tom Riddle,15
Original Character,14
Luna Lovegood,13
Voldemort,12
Theodore Nott,12
Albus Severus Potter,11
Blaise Zabini,10
Rose Weasley,10
George Weasley,8
Original Male Character,8
Neville Longbottom,6
Cedric Diggory,6
Lavender Brown,6
Dean Thomas,5
Peter Pettigrew,4
Parvati Patil,3
Seamus Finnigan,3
Bill Weasley,3
Other,3
Marlene McKinnon,3
Keith,3
Lance (Voltron),3
Fleur Delacour,2
Harry Styles,2
Louis Tomlinson,2
Padma Patil,2
Teddy Lupin,2
Minerva McGonagall,2
Player Character,2
Astoria Greengrass,2
James Sirius Potter,2
Orignal Character,2
Arthur Pendragon (Merlin),2
Merlin,2
Drarry - Relationship,2
Gregory Goyle,2
Millicent Bulstrode,2
Petunia Evans Dursley,2
Susan Bones,2
Penny Haywood,2
Iwaizumi Hajime,1
Oikawa Tooru,1
Rabastan Lestrange,1
Kylo Ren,1
Rey,1
Kuroba Kaito | Kaitou Kid,1
Nakamori Aoko,1
Sirius Black&#39;s Motorbike,1
Castiel,1
Dean Winchester,1
Implied Draco Malfoy,1
Stiles Stilinski,1
God,1
Original Percival Graves,1
Jacob,1
Player Character (Hogwarts Mystery),1
The Hippie | JC Caylen,1
The Investigative Reporter | Safiya Nygaard,1
Amamiya Ren,1
Okumura Haru,1
Original Non - Binary Character,1
draco x reader,1
Moaning Myrtle,1
Eventual - Hermione Granger,1
Molly Weasley,1
Regulus Black,1
Elizabeth Delgado,1
Sky Tate,1
Rolanda Hooch,1
Amy Rose,1
Godric Gryffindor,1
Salazar Slytherin,1
Barnaby Lee,1
Luke Patterson,1
Reggie Peters (Julie and The Phantoms),1
Eddie Kaspbrak,1
Richie Tozier,1
Vincent Crabbe,1
Nora,1
Sean,1
Abraxas Malfoy,1
Justin Finch - Fletchley,1
Charlie Weasley,1
Jae Kim,1
Aziraphale,1
