Hogwarts Sixth Year,freq
Draco Malfoy,68
Harry Potter,51
Hermione Granger,40
Ron Weasley,7
Severus Snape,7
Ginny Weasley,5
Original Female Character,5
Tom Riddle,5
Remus Lupin,4
none,3
Pansy Parkinson,3
Theodore Nott,3
Sirius Black,3
Voldemort,3
Reader,2
Lavender Brown,2
Blaise Zabini,2
Rabastan Lestrange,1
Fred Weasley,1
James Potter,1
Parvati Patil,1
Molly Weasley,1
Gladio | Gladion,1
Cormac McLaggen,1
Luna Lovegood,1
Neville Longbottom,1
Narcissa Black Malfoy,1
Arthur Weasley,1
wolfstar - Relationship,1
