Hogwarts,freq
Draco Malfoy,757
Harry Potter,642
none,464
Sirius Black,443
Remus Lupin,429
Original Female Character,401
Hermione Granger,376
Severus Snape,223
Reader,206
James Potter,194
Lily Evans Potter,158
Tom Riddle,99
Fred Weasley,95
Ginny Weasley,74
Original Character,72
Scorpius Malfoy,70
Ron Weasley,70
George Weasley,66
Albus Severus Potter,54
Luna Lovegood,44
Regulus Black,39
Original Male Character,36
Neville Longbottom,34
Pansy Parkinson,34
Cedric Diggory,32
Albus Dumbledore,29
Charlie Weasley,27
Oliver Wood,27
Lucius Malfoy,26
Minerva McGonagall,26
Gellert Grindelwald,19
Theodore Nott,19
Blaise Zabini,17
Percy Weasley,17
Percy Jackson,17
Rose Weasley,16
Teddy Lupin,16
Newt Scamander,16
Narcissa Black Malfoy,14
Annabeth Chase,14
Peter Pettigrew,13
wolfstar - Relationship,13
Bellatrix Black Lestrange,12
Seamus Finnigan,12
Other,11
Marlene McKinnon,11
Marcus Flint,11
James Sirius Potter,11
Voldemort,10
Daphne Greengrass,9
Nico di Angelo,9
Rey,8
Will Solace,8
Jeon Jungkook,8
Kylo Ren,7
Kim Taehyung | V,7
Nymphadora Tonks,7
Godric Gryffindor,7
Arthur Pendragon (Merlin),7
Merlin,7
Drarry - Relationship,7
Dean Thomas,6
Ted Tonks,6
Dorcas Meadowes,6
Petunia Evans Dursley,6
Lee Jordan,6
Padma Patil,6
Rodolphus Lestrange,5
Fleur Delacour,5
John Watson,5
Sherlock Holmes,5
Victoire Weasley,5
Andromeda Black Tonks,5
Park Jimin,5
Harry Styles,5
Louis Tomlinson,5
Astoria Greengrass,5
Player Character,5
Bill Weasley,5
Poppy Pomfrey,5
Adrian Pucey,5
Marauders,5
Rubeus Hagrid,5
Lavender Brown,4
Bruce Wayne,4
Helga Hufflepuff,4
Salazar Slytherin,4
Steve Rogers,4
Tony Stark,4
Lily Evans,4
Angelina Johnson,4
Abraxas Malfoy,4
Tina Goldstein,4
Hatake Kakashi,4
Keith,4
Aurora Sinistra,4
Castiel,4
Dean Winchester,4
Gregory Goyle,3
Leta Lestrange,3
Park Jimin (BTS),3
