Humor,freq
Harry Potter,1247
Draco Malfoy,922
Hermione Granger,593
none,587
Severus Snape,330
Sirius Black,299
Remus Lupin,271
James Potter,143
Original Female Character,122
Lily Evans Potter,113
Tom Riddle,107
Ron Weasley,107
Voldemort,103
Ginny Weasley,71
Scorpius Malfoy,63
Lucius Malfoy,58
Fred Weasley,49
Pansy Parkinson,49
Albus Dumbledore,45
Albus Severus Potter,42
Narcissa Black Malfoy,33
George Weasley,32
Percy Weasley,30
Charlie Weasley,29
Gellert Grindelwald,29
Luna Lovegood,28
Bellatrix Black Lestrange,28
Oliver Wood,28
Neville Longbottom,27
Theodore Nott,27
Marcus Flint,24
Rose Weasley,23
Blaise Zabini,23
Fleur Delacour,21
Minerva McGonagall,21
Reader,20
James Sirius Potter,17
Original Male Character,16
Original Character,16
Regulus Black,14
Nymphadora Tonks,14
Peter Pettigrew,13
Daphne Greengrass,9
Angelina Johnson,9
Loki ,8
Newt Scamander,8
Rowena Ravenclaw,8
Original Percival Graves,8
Cho Chang,8
Gilderoy Lockhart,8
Lily Luna Potter,8
Lavender Brown,8
Arthur Weasley,8
Helga Hufflepuff,7
Salazar Slytherin,7
Tony Stark,7
Teddy Lupin,7
Katie Bell,7
Molly Weasley,7
Arthur Pendragon (Merlin),6
Merlin,6
Godric Gryffindor,6
Audrey Weasley,6
Parvati Patil,6
Cedric Diggory,6
Bill Weasley,6
Aziraphale,6
Crowley ,6
Marlene McKinnon,5
Percy Jackson,5
Edward Cullen,5
James Bucky Barnes,5
Dean Thomas,5
Seamus Finnigan,5
Edward Elric,5
Steve Rogers,5
Abernathy,5
Nico di Angelo,4
Frodo Baggins,4
Dorcas Meadowes,4
Peter Parker,4
Sherlock Holmes,4
Cormac McLaggen,4
Andromeda Black Tonks,4
Hannah Abbott,4
Hugo Weasley,4
Lysander Scamander,4
Fushichou Marco | Phoenix Marco,4
Gunnar Grimmson,4
Alice Longbottom,3
Antonin Dolohov,3
Molly Weasley II,3
Player Character (Hogwarts Mystery),3
Other Relationship Tags to Be Added,3
Rodolphus Lestrange,3
Other,3
John Watson,3
Petunia Evans Dursley,3
Reborn (Katekyou Hitman Reborn!),3
Death,3
Danny Fenton,3
