Hurt/Comfort,freq
Harry Potter,1570
Draco Malfoy,1192
Sirius Black,807
Remus Lupin,730
Hermione Granger,716
Severus Snape,493
none,305
James Potter,219
Original Female Character,183
Ron Weasley,152
Lily Evans Potter,148
Ginny Weasley,133
Reader,107
Tom Riddle,94
Regulus Black,91
George Weasley,72
Luna Lovegood,67
Newt Scamander,67
Fred Weasley,66
Lucius Malfoy,60
Bellatrix Black Lestrange,58
Original Percival Graves,51
Narcissa Black Malfoy,49
Voldemort,48
Neville Longbottom,40
Scorpius Malfoy,40
Credence Barebone,38
Percy Weasley,37
Albus Severus Potter,34
Theodore Nott,32
Pansy Parkinson,32
Oliver Wood,29
Gellert Grindelwald,28
Andromeda Black Tonks,27
Charlie Weasley,27
Minerva McGonagall,26
Original Male Character,25
Fleur Delacour,24
Nymphadora Tonks,24
Teddy Lupin,24
Albus Dumbledore,23
Cedric Diggory,23
Original Character,22
Tina Goldstein,22
Blaise Zabini,20
Astoria Greengrass,20
Marlene McKinnon,19
James Sirius Potter,19
Lavender Brown,18
Tony Stark,17
Theseus Scamander,16
Molly Weasley,16
Arthur Weasley,16
Bill Weasley,15
Daphne Greengrass,14
Marcus Flint,14
Rose Weasley,12
Petunia Evans Dursley,12
Peter Pettigrew,11
Seamus Finnigan,10
Loki ,10
Queenie Goldstein,10
Ted Tonks,9
Merula Snyde,9
Cho Chang,8
Percy Jackson,8
James Bucky Barnes,8
Parvati Patil,8
Hatake Kakashi,7
Other,7
Dean Thomas,7
Dorcas Meadowes,7
Rey,7
Angelina Johnson,7
Walburga Black,7
Steve Rogers,7
Player Character,7
Annabeth Chase,6
Leo Knut,6
Mary Macdonald,6
Bartemius Crouch Jr.,6
John Watson,6
Sherlock Holmes,6
Kylo Ren,5
Katie Bell,5
Loki,5
Finn O&#39;Hara,5
Dudley Dursley,5
Jacob Kowalski,5
Eileen Prince,5
Arthur Pendragon (Merlin),5
Hope Lupin,5
Lyall Lupin,5
Salazar Slytherin,5
Nico di Angelo,4
Anakin Skywalker,4
Victoire Weasley,4
Other Relationship Tags to Be Added,4
Weasley Family,4
Logan Tremblay (lumosinlove),4
Viktor Krum,4
