Implied/Referenced Child Abuse,freq
Harry Potter,832
Sirius Black,428
Remus Lupin,321
Draco Malfoy,303
none,244
Severus Snape,217
Hermione Granger,146
James Potter,126
Regulus Black,103
Tom Riddle,89
Voldemort,79
Original Female Character,72
Lily Evans Potter,70
Ron Weasley,58
Ginny Weasley,30
Original Percival Graves,29
Bellatrix Black Lestrange,27
Credence Barebone,27
Lucius Malfoy,23
Blaise Zabini,22
Original Male Character,22
Luna Lovegood,20
Original Character,20
Peter Pettigrew,19
Fred Weasley,18
Theodore Nott,18
Narcissa Black Malfoy,18
George Weasley,17
Neville Longbottom,15
Reader,13
Tony Stark,11
Cedric Diggory,11
Minerva McGonagall,11
Petunia Evans Dursley,11
Pansy Parkinson,9
Marlene McKinnon,9
Steve Rogers,8
Other Relationship Tags to Be Added,8
Newt Scamander,8
Albus Dumbledore,8
Charlie Weasley,7
Andromeda Black Tonks,7
Daphne Greengrass,7
Fleur Delacour,6
Marcus Flint,6
Eileen Prince,6
Vernon Dursley,6
Dudley Dursley,6
Nymphadora Tonks,5
Lily Evans,5
Gellert Grindelwald,5
Molly Weasley,5
Arthur Weasley,4
James Bucky Barnes,4
Millicent Bulstrode,4
Rodolphus Lestrange,4
Loki,4
The Dursleys,4
Astoria Greengrass,4
Minor or Background Relationship,4
Peter Hale,3
James Sirius Potter,3
Bartemius Crouch Jr.,3
Death,3
Bakugou Katsuki,3
Tom Riddle Sr.,3
Abraxas Malfoy,3
Percy Weasley,3
Tracey Davis,3
Undecided,3
Aziraphale,3
Crowley ,3
Dorcas Meadowes,3
Cho Chang,3
Midoriya Izuku,3
Todoroki Shouto,3
Walburga Black,3
Aizawa Shouta | Eraserhead,3
Yamada Hizashi | Present Mic,3
Cor Leonis,3
Ron Weasley (family),3
Henry Emily,2
William Afton | Dave Miller,2
Shinsou Hitoshi,2
Adam Parrish,2
Ronan Lynch,2
Avengers Team,2
Desmond Miles,2
Chiba Mamoru,2
Tsukino Usagi,2
Moaning Myrtle,2
Arcobaleno,2
Reborn (Katekyou Hitman Reborn!),2
Uzumaki Naruto,2
England (Hetalia),2
Harriet Potter | Rigel Black,2
Ted Tonks,2
Nizar Slytherin,2
Peter Parker,2
Fenrir Greyback,2
Euphemia Potter,2
