Implied/Referenced Child Abuse,freq
Harry Potter,105
Draco Malfoy,46
Severus Snape,41
Sirius Black,35
Remus Lupin,27
Hermione Granger,26
Original Female Character,16
Voldemort,15
Tom Riddle,14
Credence Barebone,11
Original Percival Graves,11
Regulus Black,6
Lucius Malfoy,6
James Potter,5
Bellatrix Black Lestrange,4
Narcissa Black Malfoy,3
Original Male Character,3
Ron Weasley,3
Original Character,3
none,3
Nymphadora Tonks,2
Luna Lovegood,2
Ginny Weasley,2
Charlie Weasley,2
Moaning Myrtle,2
Theodore Nott,2
Fenrir Greyback,2
Newt Scamander,2
Dobby,2
Peter Pettigrew,1
Arthur Weasley,1
Neville Longbottom,1
Millicent Bulstrode,1
Miya Atsumu,1
Miya Osamu,1
Gomez Addams,1
Morticia Addams,1
Merope Gaunt,1
Tom Riddle Sr.,1
Reader,1
Caelum Lestrange,1
Harriet Potter | Rigel Black,1
Clay | Dream,1
GeorgeNotFound (Video Blogging RPF),1
Lucy Heartfilia,1
Natsu Dragneel,1
Vernon Dursley,1
Daryl Dixon,1
Godric (True Blood),1
Cormac McLaggen,1
OFC,1
OMC,1
Kylo Ren,1
Rey,1
Jax Teller,1
Thomas Teller I,1
Other Relationship Tags to Be Added,1
Buffy Summers,1
James Sirius Potter,1
Carol,1
Doug Jones,1
Brian Kinney,1
Justin Taylor (Queer as Folk),1
Lily Evans Potter,1
Marlene McKinnon,1
Leliana Evan - Black (Aster Potter),1
Oliver Queen,1
Wayne Hopkins,1
Eileen Prince,1
Tobias Snape,1
Abraxas Malfoy,1
Castiel,1
Dean Winchester,1
Teddy Lupin,1
