Jealousy,freq
Draco Malfoy,223
Harry Potter,222
Hermione Granger,123
Sirius Black,88
Remus Lupin,83
Original Female Character,71
Severus Snape,64
Reader,50
James Potter,43
Tom Riddle,35
Lily Evans Potter,29
Ron Weasley,26
Scorpius Malfoy,18
Albus Severus Potter,14
Ginny Weasley,14
Albus Dumbledore,14
Fred Weasley,12
James Sirius Potter,12
none,11
Pansy Parkinson,11
Regulus Black,10
Gellert Grindelwald,10
Player Character,9
Bellatrix Black Lestrange,9
Lucius Malfoy,9
George Weasley,8
Newt Scamander,8
Teddy Lupin,8
Neville Longbottom,7
Merula Snyde,7
Fleur Delacour,7
Seamus Finnigan,7
Cedric Diggory,7
Charlie Weasley,7
Voldemort,6
Narcissa Black Malfoy,6
Dean Thomas,6
Astoria Greengrass,5
Petunia Evans Dursley,5
Blaise Zabini,5
Nymphadora Tonks,4
Original Character,4
Oliver Wood,4
Original Percival Graves,4
Theodore Nott,4
Peter Pettigrew,3
Luna Lovegood,3
Marcus Flint,3
Credence Barebone,3
Jeon Jungkook,3
Tina Goldstein,3
Percy Weasley,3
Tony Stark,3
L,2
Yagami Light,2
Original Male Character,2
Dorcas Meadowes,2
Marlene McKinnon,2
Viktor Krum,2
Chiba Mamoru,2
Tsukino Usagi,2
Cho Chang,2
Rose Weasley,2
Bill Weasley,2
Loki,2
Kim Taehyung | V,2
Lorcan Scamander,2
Lysander Scamander,2
Lily Luna Potter,2
Lily Evans,2
Gabrielle Delacour,2
Daphne Greengrass,2
Drarry - Relationship,2
Everyone,2
Wen Kexing,1
Zhou Zishu,1
Alice Longbottom,1
Sirius Back,1
Aziraphale,1
Crowley ,1
Chiara Lobosca,1
Mary Riddle,1
Thomas Riddle,1
Terry Boot,1
Daisy Potter,1
Kylie Ford,1
Vernon Dursley,1
Isaac Lahey,1
Jackson Whittemore,1
Midoriya Izuku,1
Yagi Toshinori | All Might,1
Dobby,1
Abraxas Malfoy,1
Lee Jordan,1
Lavender Brown,1
Parvati Patil,1
Andromeda Black Tonks,1
Adrian Pucey,1
Dominique Weasley,1
Arthur Pendragon (Merlin),1
Merlin,1
