Jealousy,freq
Draco Malfoy,104
Harry Potter,88
Hermione Granger,57
Severus Snape,26
Remus Lupin,25
Sirius Black,25
Original Female Character,19
Reader,16
Tom Riddle,12
Ron Weasley,8
James Sirius Potter,6
Pansy Parkinson,5
Bellatrix Black Lestrange,5
Albus Severus Potter,5
Narcissa Black Malfoy,4
Lucius Malfoy,4
Fred Weasley,3
Credence Barebone,3
Original Percival Graves,3
Albus Dumbledore,3
Teddy Lupin,3
Fleur Delacour,3
Scorpius Malfoy,3
James Potter,3
Nymphadora Tonks,2
Voldemort,2
Blaise Zabini,2
Bill Weasley,2
Lily Evans Potter,2
Gellert Grindelwald,2
Astoria Greengrass,1
Neville Longbottom,1
Marcus Flint,1
Oliver Wood,1
Newt Scamander,1
Isaac Lahey,1
Jackson Whittemore,1
Theodore Nott,1
Viktor Krum,1
Dominique Weasley,1
Luna Lightfoot,1
Anakin Skywalker,1
George Weasley,1
Jeon Jungkook,1
Park Jimin,1
Thorfinn Rowle,1
Barnaby Lee,1
Original Character,1
Merula Snyde,1
Player Character,1
Tony Stark,1
Cassandra Burke Goyle (Original Character),1
Lorcan Scamander,1
Lysander Scamander,1
Charlie Weasley,1
Original Male Character,1
Cedric Diggory,1
Jacob Black,1
Drarry - Relationship,1
Percy Weasley,1
Lily Luna Potter,1
