Kissing,freq
Harry Potter,503
Draco Malfoy,465
Hermione Granger,186
Sirius Black,141
Remus Lupin,134
Severus Snape,95
Reader,78
Ginny Weasley,43
Original Female Character,41
Ron Weasley,40
James Potter,40
Fred Weasley,36
Gellert Grindelwald,30
Albus Dumbledore,29
Lily Evans Potter,28
Pansy Parkinson,28
Albus Severus Potter,26
Scorpius Malfoy,25
George Weasley,25
Oliver Wood,23
Luna Lovegood,22
James Sirius Potter,20
Percy Weasley,19
Original Percival Graves,19
Charlie Weasley,19
Newt Scamander,18
Lucius Malfoy,18
Voldemort,17
Tom Riddle,17
Neville Longbottom,17
Teddy Lupin,17
Bellatrix Black Lestrange,15
Nymphadora Tonks,13
Regulus Black,12
Blaise Zabini,10
Narcissa Black Malfoy,10
none,9
Credence Barebone,9
Cedric Diggory,9
Lavender Brown,8
Marcus Flint,7
Theodore Nott,7
Dean Thomas,7
Tina Goldstein,6
Cormac McLaggen,6
Dorcas Meadowes,5
Marlene McKinnon,5
Bill Weasley,5
Minerva McGonagall,5
Cho Chang,4
Lee Jordan,4
Player Character,4
Terence Higgs,4
Merula Snyde,4
Andromeda Black Tonks,4
Daphne Greengrass,3
Seamus Finnigan,3
Original Character,3
Fleur Delacour,3
Dolan Magee,3
Harrison Star Pendrake,3
Gilderoy Lockhart,3
Victoire Weasley,3
Rose Weasley,2
Original Male Character,2
Jaskier | Dandelion,2
Min Yoongi | Suga,2
Alastor Moody,2
Seraphina Picquery,2
Viktor Krum,2
Parvati Patil,2
Antonin Dolohov,2
Rolanda Hooch,2
Skye Parkin,2
Graham Montague,2
Jacob Kowalski,2
Frank Longbottom,2
Godric Gryffindor,2
Salazar Slytherin,2
Loki ,2
Adrian Pucey,2
Rodolphus Lestrange,2
Rey,2
Katara,1
Zuko (Avatar),1
Reyna Avila Ramírez - Arellano,1
Johann Struensee,1
Prince Charmont (Ella Enchanted),1
Aziraphale,1
Crowley ,1
Harry Hart | Galahad,1
James,1
Sirius,1
Luke Deveaux,1
Saint (lumosinlove),1
Dean Winchester,1
Im Jaebum | JB,1
Jackson Wang,1
Hannah Abbott,1
Isaac Lahey,1
Jackson Whittemore,1
