Kissing,freq
Harry Potter,158
Draco Malfoy,137
Hermione Granger,64
Severus Snape,34
Remus Lupin,21
Sirius Black,18
Gellert Grindelwald,14
Albus Dumbledore,13
Original Female Character,12
Original Percival Graves,12
Ron Weasley,11
Ginny Weasley,10
Pansy Parkinson,10
George Weasley,10
Charlie Weasley,9
Scorpius Malfoy,8
Credence Barebone,7
Reader,7
James Sirius Potter,7
Voldemort,6
Albus Severus Potter,6
Fred Weasley,6
Newt Scamander,5
Bellatrix Black Lestrange,5
Neville Longbottom,5
James Potter,5
Teddy Lupin,4
Narcissa Black Malfoy,4
Cormac McLaggen,4
Lucius Malfoy,3
Nymphadora Tonks,3
Tom Riddle,3
Daphne Greengrass,2
Bill Weasley,2
Lavender Brown,2
none,2
Luna Lovegood,2
Lily Evans Potter,2
Rodolphus Lestrange,2
Johann Struensee,1
Prince Charmont (Ella Enchanted),1
Rose Weasley,1
Harry Hart | Galahad,1
James,1
Sirius,1
Dean Winchester,1
Minerva McGonagall,1
Im Jaebum | JB,1
Jackson Wang,1
Isaac Lahey,1
Jackson Whittemore,1
Eric Northman,1
Godric (True Blood),1
Seraphina Picquery,1
Susan Bones,1
Parvati Patil,1
Dean Thomas,1
Seamus Finnigan,1
Graham Montague,1
Xenophilius Lovegood,1
Madam Rosmerta,1
Rabastan Lestrange,1
Regulus Black,1
Natasha Romanov ,1
Kreacher,1
Stephen Strange,1
Andromeda Black Tonks,1
Fandral ,1
Heimdall ,1
Desmond Miles,1
Oliver Wood,1
Theodore Nott,1
Loki ,1
Nico di Angelo,1
Will Solace,1
Fleur Delacour,1
Blaise Zabini,1
Jasper Hale,1
Aurora Sinistra,1
Sybill Trelawney,1
Drarry - Relationship,1
Cedric Diggory,1
Harvey - Relationship,1
Everyone,1
Darcy Lewis,1
Marcus Flint,1
Tony Stark,1
