Light Angst,freq
Draco Malfoy,120
Harry Potter,113
Hermione Granger,76
Remus Lupin,35
Sirius Black,35
Severus Snape,31
Ron Weasley,13
Pansy Parkinson,12
Original Female Character,8
Scorpius Malfoy,7
Reader,6
Albus Severus Potter,6
Teddy Lupin,6
James Sirius Potter,6
Charlie Weasley,5
James Potter,5
Neville Longbottom,5
Theodore Nott,5
Percy Weasley,5
Tom Riddle,5
Original Percival Graves,4
Lily Evans Potter,3
Bellatrix Black Lestrange,3
Fred Weasley,3
Viktor Krum,3
Fleur Delacour,3
Voldemort,3
Credence Barebone,3
Blaise Zabini,3
George Weasley,2
Gellert Grindelwald,2
Regulus Black,2
Ginny Weasley,2
Lucius Malfoy,2
Hannibal Lecter,1
Will Graham,1
Original Character,1
Prince Charmont (Ella Enchanted),1
Nymphadora Tonks,1
Dobby,1
Millicent Bulstrode,1
Molly Weasley,1
Ask Me,1
Girl Of Readerr Dreams,1
Murphy McNully,1
Jethro Gibbs,1
Jeon Jungkook,1
Park Jimin,1
Roger Davies,1
Lorcan Scamander,1
Padma Patil,1
Daphne Greengrass,1
Tracey Davis,1
Peter Pettigrew,1
Dean Thomas,1
Seamus Finnigan,1
Oliver Wood,1
Scabior,1
Luna Lovegood,1
Cedric Diggory,1
Gideon Prewett,1
Colin Creevey,1
Rose Weasley,1
none,1
