Love Confessions,freq
Harry Potter,281
Draco Malfoy,269
Sirius Black,184
Remus Lupin,166
Hermione Granger,161
Severus Snape,68
James Potter,49
Original Female Character,41
Reader,40
Albus Severus Potter,31
Ron Weasley,30
Scorpius Malfoy,28
Fred Weasley,28
Ginny Weasley,27
Lily Evans Potter,25
Luna Lovegood,22
Newt Scamander,21
Pansy Parkinson,20
Neville Longbottom,18
Tom Riddle,16
George Weasley,16
Blaise Zabini,14
Tina Goldstein,14
Narcissa Black Malfoy,12
Teddy Lupin,12
Seamus Finnigan,12
James Sirius Potter,11
Theodore Nott,11
Dean Thomas,11
Nymphadora Tonks,10
Lucius Malfoy,9
Albus Dumbledore,9
Regulus Black,8
Original Percival Graves,8
Credence Barebone,7
Minerva McGonagall,7
Gellert Grindelwald,6
Oliver Wood,6
Charlie Weasley,6
Voldemort,5
none,5
Cedric Diggory,5
Original Character,5
Percy Weasley,5
Daphne Greengrass,4
Lavender Brown,4
Bill Weasley,4
Percy Jackson,4
Bellatrix Black Lestrange,4
Player Character,4
Merula Snyde,3
Other,3
Marlene McKinnon,3
Lee Jordan,3
Original Male Character,3
Snape,3
Marcus Flint,3
Loki ,2
Fleur Delacour,2
draco malfoy,2
Rose Weasley,2
Dean Winchester,2
Filius Flitwick,2
Horace Slughorn,2
Peter Pettigrew,2
James,2
Lily,2
Astoria Greengrass,2
Tony Stark,2
Alastor Moody,2
Lán Zhàn | Lán Wàngjī,2
Wèi Yīng | Wèi Wúxiàn,2
Nico di Angelo,2
Rowan Khanna,2
Anthony Goldstein,2
Natasha Romanov ,2
Viktor Krum,2
Alice Kingsleigh,2
Mirana of Marmoreal,2
Evelyn Readerng,1
Katara,1
Zuko (Avatar),1
Parvati Patil,1
Harry Hart | Galahad,1
May Parker (Spider - Man),1
Luke Deveaux,1
Saint (lumosinlove),1
Frank Zhang,1
Merope Gaunt,1
Tom Riddle Sr.,1
oc,1
theo nott,1
Emmeline Vance,1
benjamin franklin,1
Sam Wilson ,1
Betty Cooper,1
Jughead Jones,1
Gryffindor Student,1
Slytherin Student,1
Sugawara Koushi,1
Dorcas Meadowes,1
