Love Confessions,freq
Harry Potter,65
Draco Malfoy,59
Hermione Granger,28
Severus Snape,18
Sirius Black,10
Original Female Character,9
Remus Lupin,7
Ginny Weasley,5
Ron Weasley,5
Pansy Parkinson,4
Teddy Lupin,4
James Sirius Potter,4
Albus Severus Potter,4
Scorpius Malfoy,4
Nymphadora Tonks,3
Fred Weasley,3
Theodore Nott,3
Newt Scamander,3
Original Percival Graves,3
Dean Thomas,3
Seamus Finnigan,3
Voldemort,3
Charlie Weasley,3
Neville Longbottom,2
Albus Dumbledore,2
Gellert Grindelwald,2
Lucius Malfoy,2
Blaise Zabini,2
Tom Riddle,2
Peter Pettigrew,2
Reader,2
Bill Weasley,1
Harry Hart | Galahad,1
Fleur Delacour,1
May Parker (Spider - Man),1
Frank Zhang,1
Percy Jackson,1
oc,1
theo nott,1
Dean Winchester,1
Ask Me,1
Girl Of Readerr Dreams,1
beth harmon,1
draco malfoy,1
James Potter,1
Lily Evans Potter,1
Luna Lovegood,1
Scorpius,1
Teddy,1
Albus Severus Potter - Weasley,1
James Sirius Potter - Weasley,1
Colin Farrell,1
Stephen Strange,1
Tony Stark,1
Angus MacGyver (MacGyver TV 2016),1
Лена Величко,1
Рома Агриян (Армянин),1
Phil Coulson,1
Loki ,1
Cedric Diggory,1
Steve Rogers,1
George Weasley,1
Tina Goldstein,1
Jason Voorhees,1
Alice Kingsleigh,1
Mirana of Marmoreal,1
Darcy Lewis,1
Natasha Romanov ,1
