Love,freq
Draco Malfoy,84
Harry Potter,77
Hermione Granger,75
Severus Snape,39
Original Female Character,22
Remus Lupin,21
Sirius Black,16
Reader,10
Ron Weasley,6
Charlie Weasley,6
none,6
Fred Weasley,6
Ginny Weasley,6
Pansy Parkinson,5
Tom Riddle,5
Nymphadora Tonks,4
Lily Evans Potter,4
Lucius Malfoy,3
James Potter,3
Blaise Zabini,3
Scorpius Malfoy,3
James Sirius Potter,3
Teddy Lupin,3
Original Percival Graves,3
George Weasley,2
Bill Weasley,2
Oliver Wood,2
Neville Longbottom,2
Andromeda Black Tonks,2
Loki ,2
Percy Weasley,2
Merula Snyde,2
Albus Severus Potter,2
Viktor Krum,2
Credence Barebone,2
Molly Weasley,2
Angel Dust (Hazbin Hotel),1
Millie,1
Moxxie (Helluva Boss),1
Harry Hart | Galahad,1
Lauren Niemberg,1
Theodore Nott,1
James,1
Sirius,1
Hugo Weasley,1
Ask Me,1
Girl Of Readerr Dreams,1
Original Character,1
Ignatius Ig Perrish,1
Merrin Williams,1
Eric Northman,1
Jason Voorhees,1
Ted Tonks,1
Harry Potter and Draco Malfoy,1
Rabastan Lestrange,1
Angus MacGyver (MacGyver TV 2016),1
Barty Crouch Jr,1
OFC,1
Original Male Character,1
Player Character,1
James Bucky Barnes,1
Alan Rickman,1
dramione,1
Cedric Diggory,1
wolfstar - Relationship,1
Colin Creevey,1
Newt Scamander,1
Regulus Black,1
Gregory Goyle,1
Padma Patil,1
Luna Lovegood,1
