Magic,freq
Harry Potter,273
none,250
Draco Malfoy,185
Original Female Character,156
Hermione Granger,151
Severus Snape,78
Sirius Black,76
Remus Lupin,72
Reader,44
Tom Riddle,43
Original Character,37
Fred Weasley,35
James Potter,33
Lily Evans Potter,29
Original Male Character,27
Luna Lovegood,26
George Weasley,25
Ron Weasley,22
Voldemort,21
Ginny Weasley,20
Gellert Grindelwald,15
Newt Scamander,15
Tony Stark,13
Albus Dumbledore,13
Bellatrix Black Lestrange,12
Scorpius Malfoy,10
Rey,10
Charlie Weasley,9
Nymphadora Tonks,9
Kylo Ren,9
Jeon Jungkook,9
Steve Rogers,9
James Bucky Barnes,9
Sherlock Holmes,9
Neville Longbottom,8
James Sirius Potter,8
John Watson,8
Regulus Black,7
Cedric Diggory,7
Albus Severus Potter,7
Theodore Nott,6
Kim Taehyung | V,6
Arthur Pendragon (Merlin),6
Tina Goldstein,6
Daphne Greengrass,6
Peter Parker,6
Min Yoongi | Suga,5
Percy Jackson,5
Keith,5
Lance (Voltron),5
Robb Stark,5
Aziraphale,5
Crowley ,5
Fleur Delacour,5
Minerva McGonagall,5
Midoriya Izuku,5
Other,5
Lucius Malfoy,5
Credence Barebone,5
Merlin,5
Castiel,5
Dean Winchester,5
Loki,4
Death,4
OFC,4
Park Jimin,4
Petunia Evans Dursley,4
Jon Snow,4
Annabeth Chase,4
Rose Weasley,4
Teddy Lupin,4
Marlene McKinnon,4
Edward Elric,4
Other Relationship Tags to Be Added,4
Uraraka Ochako,4
Godric Gryffindor,4
Salazar Slytherin,4
Original Percival Graves,4
Pansy Parkinson,3
Winry Rockbell,3
Nico di Angelo,3
Lán Zhàn | Lán Wàngjī,3
Wèi Yīng | Wèi Wúxiàn,3
Molly Weasley,3
Rowena Ravenclaw,3
Seamus Finnigan,3
Narcissa Black Malfoy,3
Helga Hufflepuff,3
Edward Cullen,3
Avengers Team,3
Hatake Kakashi,3
Clint Barton,3
Dick Grayson,3
Blaine Anderson,3
Dudley Dursley,3
Ben Solo,3
Loki ,3
Katara,2
Zuko (Avatar),2
Stiles Stilinski,2
enemies to lovers - Relationship,2
