Manipulative Albus Dumbledore,freq
Harry Potter,80
Severus Snape,31
Hermione Granger,30
Tom Riddle,18
Draco Malfoy,18
Voldemort,17
Sirius Black,9
Albus Dumbledore,7
James Potter,6
Gellert Grindelwald,5
Remus Lupin,4
Original Female Character,4
Fred Weasley,3
Bellatrix Black Lestrange,3
Lily Evans Potter,3
Newt Scamander,2
Theodore Nott,2
George Weasley,2
Fenrir Greyback,2
Lucius Malfoy,2
Narcissa Black Malfoy,2
none,2
Padma Patil,1
Parvati Patil,1
Antonin Dolohov,1
Female Harry Potter,1
Ron Weasley,1
Gomez Addams,1
Morticia Addams,1
Bartemius Crouch Jr.,1
Peter Hale,1
Daphne Greengrass,1
Loki,1
Thor ,1
Asami Ryuichi,1
Takaba Akihito,1
Lucy Heartfilia,1
Natsu Dragneel,1
Vernon Dursley,1
Thranduil (Tolkien),1
Undetermined!,1
not yet - Relationship,1
Neville Longbottom,1
Erik Lehnsherr,1
Raven | Mystique,1
Original Male Character,1
Other Relationship Tags to Be Added,1
Charlie Weasley,1
Multi,1
Thorfinn Rowle,1
Wayne Hopkins,1
Okumura Rin,1
Okumura Yukio,1
Connor (AtS),1
Dawn Summers,1
Hanabusa Aido,1
Lucifer (Supernatural),1
Dudley Dursley,1
