Marauders Era (Harry Potter),freq
Sirius Black,2216
Remus Lupin,1899
James Potter,867
Lily Evans Potter,612
none,284
Severus Snape,272
Regulus Black,255
Original Female Character,240
Reader,116
Peter Pettigrew,93
Hermione Granger,92
Harry Potter,89
Marlene McKinnon,89
Lucius Malfoy,36
Narcissa Black Malfoy,34
Dorcas Meadowes,33
Original Character,22
Marauders,21
Original Male Character,19
Draco Malfoy,17
Andromeda Black Tonks,14
Lily Evans,12
Voldemort,12
Petunia Evans Dursley,12
Minerva McGonagall,12
Evan Rosier,12
Tom Riddle,10
Bartemius Crouch Jr.,9
Walburga Black,9
Mary Macdonald,9
Albus Dumbledore,9
Ron Weasley,8
Bellatrix Black Lestrange,8
Ted Tonks,8
wolfstar - Relationship,8
Alice Longbottom,7
Hope Lupin,7
Ginny Weasley,7
Orion Black,6
Emmeline Vance,6
Gideon Prewett,6
Lyall Lupin,6
Black Family,6
Charlie Weasley,5
Rabastan Lestrange,5
No Romantic Relationship,5
Eileen Prince,5
Euphemia Potter,4
Fleamont Potter,4
James,4
Frank Longbottom,4
OFC,4
OMC,3
Molly Weasley,3
Isaac Goldstein (Original Character),3
Maximus Scamander (Original Character),3
Lily,3
Benjy Fenwick,3
Teddy Lupin,3
Abraxas Malfoy,3
Elphinstone Urquart,3
Sirius Black x Reader,3
Charlus Potter,2
Dorea Black Potter,2
Other Relationship Tags to Be Added,2
Loki ,2
James Sirius Potter,2
Luna Lovegood,2
Fred Weasley,2
Lily Luna Potter,2
Fabian Prewett,2
Augustus Potter,2
Catriona Potter,2
Jily - Relationship,2
Everyone,2
Daphne Greengrass,2
Poppy Pomfrey,2
Tobias Snape,2
Arthur Weasley,2
Lily Evans - Relationship,2
Minor James Potter,2
Nymphadora Tonks,2
Gilderoy Lockhart,2
Kreacher,2
Goblins,2
Alphard Black,2
The Marauders - Relationship,2
Past Sirius Black,1
female oc,1
Sirius Black&#39;s Motorbike,1
Derik,1
Gall,1
Antonin Dolohov,1
lily evans,1
oc,1
Mrs Thomas,1
Irma Crabbe Black,1
Pollux Black,1
Stiles Slytherin,1
Olaf (Disney),1
Godric Gryffindor,1
