Marauders Era (Harry Potter),freq
Sirius Black,183
Remus Lupin,155
James Potter,50
Severus Snape,45
Lily Evans Potter,20
Hermione Granger,20
Original Female Character,16
Regulus Black,15
Reader,9
Harry Potter,9
Peter Pettigrew,7
Lucius Malfoy,7
none,6
Narcissa Black Malfoy,4
Original Character,3
Lily Evans,3
OMC,2
Bellatrix Black Lestrange,2
Tom Riddle,2
Albus Dumbledore,2
Marlene McKinnon,2
Godric Gryffindor,1
Original Male Character,1
Voldemort,1
Ginny Weasley,1
Black Family,1
Gellert Grindelwald,1
Minerva McGonagall,1
Lilith,1
Arthur Weasley,1
Molly Weasley,1
Goblins,1
Devlin Whitehorn,1
Pomona Sprout,1
Poppy Pomfrey,1
Nimbus 2000,1
wolfstar - Relationship,1
Benjy Fenwick,1
Caradoc Dearborn,1
