Master of Death Harry Potter,freq
Harry Potter,83
Voldemort,15
Draco Malfoy,12
Tom Riddle,8
Sirius Black,5
none,4
Severus Snape,3
Original Female Character,3
Peter Hale,2
Daphne Greengrass,2
Loki ,2
Death,2
Remus Lupin,2
Jasper Hale,2
Lucius Malfoy,2
Dean Winchester,2
Hermione Granger,2
Ootori Kyoya,1
L,1
Pansy Parkinson,1
Malachai Kai Parker,1
Other Relationship Tags to Be Added,1
Jax Teller,1
Yagami Light,1
Ellaria Sand,1
Oberyn Martell,1
Aro (Twilight),1
Caius (Twilight),1
Marcus (Twilight),1
Albus Dumbledore,1
Gellert Grindelwald,1
Klaus Mikaelson,1
Spike (BtVS),1
Luna Lovegood,1
Sam Winchester,1
Angel (BtVS),1
James Potter,1
Lily Evans Potter,1
Cole Turner,1
Phoebe Halliwell,1
Ron Weasley,1
Jon Snow,1
Margaery Tyrell,1
Ygritte,1
Fleur Delacour,1
Nymphadora Tonks,1
Uchiha Itachi,1
Gabrielle Delacour,1
Ginny Weasley,1
Original Male Character,1
Harry Dresden,1
Tony Stark,1
Tsu&#39;tey te Rongloa Ateyitan,1
Richard B. Riddick,1
Harem,1
Merlin,1
Emmett Cullen,1
It&#39;s gonna be a surprise bitches,1
Lance Sweets,1
James Bucky Barnes,1
Damon Salvatore,1
Leslie Willis,1
Okumura Rin,1
Okumura Yukio,1
Edward Kenway,1
Haytham Kenway,1
Godric (True Blood),1
George Foyet (Criminal minds),1
Lucifer (Supernatural),1
