Mental Health Issues,freq
Draco Malfoy,89
Harry Potter,77
Hermione Granger,54
Severus Snape,18
Original Female Character,10
Remus Lupin,9
Sirius Black,9
Tom Riddle,9
Bellatrix Black Lestrange,8
Lily Evans Potter,4
Lucius Malfoy,4
Original Percival Graves,4
James Potter,3
Theodore Nott,3
Narcissa Black Malfoy,3
Ron Weasley,3
Original Character,3
Neville Longbottom,3
none,3
Credence Barebone,2
George Weasley,2
Ginny Weasley,2
Cassandra Burke Goyle (Original Character),2
Original Male Character,2
Voldemort,2
Albus Severus Potter,2
Newt Scamander,2
Peter Griffin,1
Sans,1
Andromeda Black Tonks,1
Nymphadora Tonks,1
Frank Zhang,1
Percy Jackson,1
Bill Weasley,1
Godric (True Blood),1
Fred Weasley,1
Hatake Kakashi,1
Diary Tom Riddle,1
Fleur Delacour,1
Pansy Parkinson,1
Charlie Weasley,1
Xanxus (Katekyou Hitman Reborn!),1
Tsu&#39;tey te Rongloa Ateyitan,1
Marlene McKinnon,1
Luna Lovegood,1
Thorfinn Rowle,1
Scorpius Malfoy,1
Bucky Barnes,1
