Minor Character Death,freq
Harry Potter,376
Draco Malfoy,317
Hermione Granger,217
Sirius Black,96
none,89
Severus Snape,83
Remus Lupin,76
Tom Riddle,65
Original Female Character,65
Voldemort,47
Lily Evans Potter,45
James Potter,44
Regulus Black,22
Ron Weasley,20
Gellert Grindelwald,18
Lucius Malfoy,17
Ginny Weasley,16
Albus Dumbledore,16
Luna Lovegood,15
Reader,13
Narcissa Black Malfoy,13
Neville Longbottom,11
Bellatrix Black Lestrange,11
Theodore Nott,10
Marcus Flint,10
Scorpius Malfoy,10
Pansy Parkinson,9
Original Percival Graves,9
Original Character,8
Original Male Character,8
Teddy Lupin,7
Fred Weasley,7
George Weasley,7
Daphne Greengrass,6
Albus Severus Potter,6
Blaise Zabini,5
Charlie Weasley,5
Astoria Greengrass,5
Steve Rogers,5
Newt Scamander,5
Fleur Delacour,5
Credence Barebone,5
Victoire Weasley,4
Rabastan Lestrange,4
Bill Weasley,4
Minerva McGonagall,4
Percy Jackson,4
Oliver Wood,4
Dean Thomas,4
Fenrir Greyback,4
Dean Winchester,4
Andromeda Black Tonks,4
Marlene McKinnon,4
Kylo Ren,3
Minor or Background Relationship,3
Rodolphus Lestrange,3
No Romantic Relationship,3
Petunia Evans Dursley,3
Millicent Bulstrode,3
Gregory Goyle,3
James Sirius Potter,3
Percy Weasley,3
Seamus Finnigan,3
Castiel,3
Cho Chang,3
Everyone,3
Other,2
Jon Snow,2
Annabeth Chase,2
Klaus Mikaelson,2
Death,2
Harry Styles,2
Susan Bones,2
Peter Parker,2
Gideon Prewett,2
Jeon Jungkook,2
Walburga Black,2
Loki ,2
Slytherin Students,2
Black Family,2
Tony Stark,2
Desmond Miles,2
Jasper Hale,2
Vincent Crabbe,2
Edward Elric,2
Roy Mustang,2
Spike (BtVS),1
(eventual) triads,1
Hermine Granger,1
Bellamy Blake,1
Hyuuga Hinata,1
Harry Potter (Friendship),1
Prince Charmont (Ella Enchanted),1
Original Character Roark Potter,1
Severus Snape x Reader,1
Danny Fenton,1
Antonin Dolohov,1
Xanxus,1
Hannibal Lecter,1
Vernon Dursley,1
Caspian Wood,1
