Minor Character Death,freq
Draco Malfoy,96
Harry Potter,94
Hermione Granger,72
Severus Snape,28
Tom Riddle,18
Sirius Black,16
Voldemort,16
Remus Lupin,11
Original Female Character,9
Gellert Grindelwald,7
James Potter,6
Ron Weasley,6
Lucius Malfoy,6
Original Percival Graves,4
Albus Dumbledore,4
Theodore Nott,3
Reader,3
Charlie Weasley,3
Lily Evans Potter,3
none,3
Credence Barebone,3
Rodolphus Lestrange,2
Ginny Weasley,2
Regulus Black,2
Marcus Flint,2
Bellatrix Black Lestrange,2
Fenrir Greyback,2
Original Character,2
Narcissa Black Malfoy,2
Dean Winchester,2
Spike (BtVS),1
Hermine Granger,1
Bellamy Blake,1
Fred Weasley,1
Pansy Parkinson,1
Original Character Roark Potter,1
Severus Snape x Reader,1
Daphne Greengrass,1
Millicent Bulstrode,1
Bill Weasley,1
Gregory Goyle,1
Colin Farrell,1
Ezra Miller,1
Neville Longbottom,1
Frank Zhang,1
Percy Jackson,1
Klaus Mikaelson,1
Stefan Salvatore,1
Death,1
Catherine Carter,1
Henry Carter,1
Ianto Jones,1
Jack Harkness,1
Newt Scamander,1
Blaise Zabini,1
Fleur Delacour,1
Harry Dresden,1
Aegon VI Targaryen,1
Jon Snow,1
Edward (Anita Blake),1
Micah Callahan,1
Edie Eisenhardt,1
Jakob Eisenhardt,1
Chell,1
GLaDOS,1
Salazar Slytherin,1
Castiel,1
Hope Lupin,1
Petyr Baelish,1
Sansa Stark,1
Teddy Lupin,1
Logan (X - Men),1
Snarry - Relationship,1
