Mpreg,freq
Harry Potter,771
Draco Malfoy,361
Severus Snape,224
Tom Riddle,81
Voldemort,58
Sirius Black,46
James Potter,46
Lucius Malfoy,45
Remus Lupin,43
none,41
Ron Weasley,25
Original Male Character,20
Newt Scamander,17
Original Percival Graves,17
George Weasley,16
Charlie Weasley,16
Fred Weasley,14
Gellert Grindelwald,13
Blaise Zabini,12
Albus Dumbledore,12
Hermione Granger,11
Tony Stark,11
Scorpius Malfoy,11
Fenrir Greyback,11
Regulus Black,10
Lily Evans Potter,10
Ginny Weasley,9
Rabastan Lestrange,9
Albus Severus Potter,9
Cedric Diggory,8
Steve Rogers,7
Bill Weasley,7
Original Character,6
Theodore Nott,6
Neville Longbottom,6
Credence Barebone,5
Reader,5
Viktor Krum,4
Horace Slughorn,4
Harry Potter - Relationship,4
Oliver Wood,3
Orion Black,3
?,3
Loki,3
Narcissa Black Malfoy,3
Original Female Character,3
Stiles Stilinski,3
Marcus Flint,3
Asami Ryuichi,2
Luna Lovegood,2
Hannibal Lecter,2
Will Graham,2
Theseus Scamander,2
Merle Dixon,2
Shane Walsh,2
Jacob Black,2
Salazar Slytherin,2
Loki ,2
Bartemius Crouch Jr.,2
harry,2
Tobias Snape,2
Daryl Dixon,2
Stephen Strange,2
Thorin Oakenshield,2
Oliver Queen,2
Other Relationship Tags to Be Added,2
Derek Hale,2
Vernon Dursley,2
Eileen Prince,2
Harem,2
Anakin Skywalker,2
Obi - Wan Kenobi,2
Dobby,2
Percy Weasley,2
Harry,2
Aziraphale,2
Crowley ,2
Dudley Dursley,2
Jacob Kowalski,2
Nathan Prewett,1
Ootori Kyoya,1
Past Lily Evens Potter,1
Teddy Lupin,1
Wei Ying | Wei Wuxian,1
Rodolphus Lestrange,1
Astoria Greengrass,1
Jethro Gibbs,1
Gomez Addams,1
Morticia Addams,1
Komaeda Nagito,1
Sans (Undertale),1
Gregory Goyle,1
Frank Zhang,1
Percy Jackson,1
Harry Potter (Friendship),1
Cygnus Black,1
Druella Rosier Black,1
Sandor Clegane,1
Lán Zhàn | Lán Wàngjī,1
Wèi Yīng | Wèi Wúxiàn,1
Adam,1
