Mpreg,freq
Harry Potter,275
Draco Malfoy,114
Severus Snape,90
Tom Riddle,26
Voldemort,24
Remus Lupin,16
James Potter,15
Lucius Malfoy,13
Ron Weasley,12
Sirius Black,11
none,8
Original Percival Graves,8
Original Male Character,8
Fenrir Greyback,7
Newt Scamander,7
Hermione Granger,6
Charlie Weasley,6
Gellert Grindelwald,5
Albus Severus Potter,5
Scorpius Malfoy,5
Cedric Diggory,4
Albus Dumbledore,4
Bill Weasley,4
Horace Slughorn,4
Harry Potter - Relationship,4
Credence Barebone,3
Blaise Zabini,3
Ginny Weasley,3
Regulus Black,3
Asami Ryuichi,2
Theodore Nott,2
Neville Longbottom,2
Loki ,2
Lily Evans Potter,2
Harem,2
Dobby,2
Harry,2
Nathan Prewett,1
Ootori Kyoya,1
Past Lily Evens Potter,1
Teddy Lupin,1
Hannibal Lecter,1
Will Graham,1
Gomez Addams,1
Morticia Addams,1
Komaeda Nagito,1
Sans (Undertale),1
Gregory Goyle,1
Frank Zhang,1
Percy Jackson,1
Sandor Clegane,1
Loki,1
Thor ,1
Shane Walsh,1
TK Strand,1
Jasper Hale,1
Shiloe,1
Viserys Targaryen,1
Sung Jin - Woo,1
Yautja,1
Oliver Queen,1
Slade Wilson,1
Other Relationship Tags to Be Added,1
Jared Padalecki,1
Jensen Ackles,1
Sam Merlotte,1
Rabastan Lestrange,1
Harry Potter (past),1
Aegon VI Targaryen,1
Jon Snow,1
Salazar Slytherin,1
Original Character,1
Marcus Flint,1
Claude de Alger Obelia,1
Felix Robain,1
Mathayus,1
Gannicus (Spartacus),1
Devil&#39;s Snare,1
Gideon prewett,1
Big Bird,1
Elmo (Sesame Street),1
Lily Evans Potter past,1
Cormac McLaggen,1
Keiko,1
Yusuke,1
Vernon Dursley,1
Fred Weasley,1
George Weasley,1
Plant,1
surprise for you all and fun for me,1
Aiden,1
Ethan,1
Cedric,1
Orm Marius,1
Legolas Greenleaf,1
Percy Weasley,1
Newt Scamander&#39;s Magical Beasts,1
Jacob Black,1
Everyone,1
Rhaegar Targaryen,1
Katsuki Bakugou,1
