Mutual Pining,freq
Draco Malfoy,645
Harry Potter,537
Hermione Granger,406
Sirius Black,393
Remus Lupin,378
James Potter,119
Original Female Character,117
Lily Evans Potter,79
Severus Snape,75
Reader,74
Fred Weasley,59
Scorpius Malfoy,53
George Weasley,44
Ron Weasley,44
Albus Severus Potter,44
Ginny Weasley,41
Neville Longbottom,32
Pansy Parkinson,30
Regulus Black,26
Oliver Wood,26
Luna Lovegood,23
Theodore Nott,22
Newt Scamander,22
Tom Riddle,20
James Sirius Potter,17
Charlie Weasley,17
Teddy Lupin,17
Blaise Zabini,16
Percy Weasley,13
Credence Barebone,12
Voldemort,12
Dean Thomas,10
Cedric Diggory,10
Tina Goldstein,10
Rey,9
Dorcas Meadowes,9
Marlene McKinnon,9
Bill Weasley,9
Original Percival Graves,9
Marcus Flint,8
Lucius Malfoy,7
Original Character,7
Astoria Greengrass,7
Rose Weasley,7
Merlin,7
Seamus Finnigan,6
Kylo Ren,6
Lavender Brown,6
Viktor Krum,6
Arthur Pendragon (Merlin),6
Drarry - Relationship,5
Player Character,5
Cho Chang,5
Fleur Delacour,5
Daphne Greengrass,5
Nymphadora Tonks,5
Alice Longbottom,4
Adrian Pucey,4
John Watson,4
Victoire Weasley,4
Lysander Scamander,4
Minerva McGonagall,4
Salazar Slytherin,4
Theseus Scamander,4
Fred Weasley II,3
Sherlock Holmes,3
Park Jimin,3
Isaac Goldstein (Original Character),3
Maximus Scamander (Original Character),3
Albus Dumbledore,3
Keith,3
Lance (Voltron),3
Lily Luna Potter,3
Parvati Patil,3
Jeon Jungkook,3
Antonin Dolohov,3
Chiara Lobosca,3
Steve Rogers,3
Bellatrix Black Lestrange,3
Ernie Macmillan,3
Leo Knut,3
Ben Solo,3
Original Male Character,3
Godric Gryffindor,3
Geralt z Rivii | Geralt of Rivia,3
Jaskier | Dandelion,3
Tony Stark,3
Katie Bell,2
Luke Deveaux,2
Saint (lumosinlove),2
Stiles Stilinski,2
Kim Taehyung | V,2
Harry Styles,2
Louis Tomlinson,2
Penny Haywood,2
Gellert Grindelwald,2
Hannah Abbott,2
Zacharias Smith,2
Kimberly Hart,2
Trini,2
Min Yoongi | Suga,2
