Mystery,freq
Draco Malfoy,267
Harry Potter,247
Hermione Granger,227
none,112
Original Female Character,62
Severus Snape,57
Sirius Black,39
Tom Riddle,30
Remus Lupin,30
Ginny Weasley,23
Ron Weasley,20
Lily Evans Potter,16
Voldemort,15
James Potter,13
Lucius Malfoy,13
Original Male Character,12
Original Character,11
Scorpius Malfoy,10
Fred Weasley,10
Albus Severus Potter,8
James Sirius Potter,8
Charlie Weasley,7
Reader,7
Original Percival Graves,6
George Weasley,6
Newt Scamander,6
Fleur Delacour,5
Percy Weasley,5
Blaise Zabini,5
Sherlock Holmes,5
Teddy Lupin,5
Albus Dumbledore,5
Daphne Greengrass,5
Luna Lovegood,4
Neville Longbottom,4
Theodore Nott,4
Tony Stark,4
Astoria Greengrass,4
Regulus Black,4
John Watson,4
Tina Goldstein,4
Percy Jackson,3
Pansy Parkinson,3
Lily Luna Potter,3
Nymphadora Tonks,3
Harry Styles,3
Minor or Background Relationship,3
Molly Weasley,3
Antonin Dolohov,3
Bill Weasley,2
Aster Potter,2
Ginny,2
Harry,2
Cedric Diggory,2
Oliver Wood,2
Ninth Doctor,2
Gellert Grindelwald,2
Jeon Jungkook,2
Park Jimin,2
Padma Patil,2
Arthur Weasley,2
Orignal Character,2
Minerva McGonagall,2
Bellatrix Black Lestrange,2
Salazar Slytherin,2
Narcissa Black Malfoy,2
Rose Weasley,2
Lisa Turpin,2
Cho Chang,2
Asami Ryuichi,1
Corpse Husband,1
Jeremy Wang,1
Rachel Rae Hofstetter,1
Sykkuno,1
Kurusu Akira,1
Okumura Haru,1
Rose Holmes,1
Quirinus Quirell,1
OFC,1
Tenth Doctor,1
Arya Stark,1
Tywin Lannister,1
Hinata Shouyou,1
Oikawa Tooru,1
Arthur Morgan,1
Jareth,1
Sarah Williams,1
Surprise relationships,1
Viktor Krum,1
Audrey Weasley,1
Uzumaki Naruto,1
Angus MacGyver (MacGyver TV 2016),1
Other,1
Connor Murphy,1
Evan Hansen,1
L,1
Aomine Daiki,1
Kagami Taiga,1
Granger - Weasley,1
Malfoy,1
Annabeth Chase,1
