Not Beta Read,freq
Harry Potter,310
Draco Malfoy,162
Hermione Granger,90
none,75
Sirius Black,64
Severus Snape,63
Remus Lupin,57
Tom Riddle,47
Voldemort,46
James Potter,26
Reader,24
Ron Weasley,20
Original Female Character,18
Lily Evans Potter,18
Regulus Black,12
Ginny Weasley,12
Original Percival Graves,12
Blaise Zabini,10
Fred Weasley,9
Newt Scamander,9
Lucius Malfoy,9
Original Male Character,8
Luna Lovegood,7
Neville Longbottom,7
Narcissa Black Malfoy,7
Credence Barebone,7
George Weasley,6
Theodore Nott,6
Original Character,6
Percy Weasley,5
Harriet Potter | Rigel Black,5
Pansy Parkinson,5
Albus Dumbledore,5
Steve Rogers,4
Tony Stark,4
Other Relationship Tags to Be Added,4
Bellatrix Black Lestrange,4
Antonin Dolohov,4
Loki ,3
Salazar Slytherin,3
Caelum Lestrange,3
Vernon Dursley,3
Oliver Wood,3
Kanda Yuu,3
Allen Walker,3
Annabeth Chase,3
Percy Jackson,3
Aurora Sinistra,3
Scorpius Malfoy,3
Monkey D. Luffy,2
John Watson,2
Sherlock Holmes,2
Astoria Greengrass,2
Viktor Krum,2
Fenrir Greyback,2
Audrey Weasley,2
Uzumaki Naruto,2
Peter Parker,2
Godric Gryffindor,2
Padma Patil,2
Nymphadora Tonks,2
Ciel Phantomhive,2
Gellert Grindelwald,2
Alex Potter,2
Clint Barton,2
James Bucky Barnes,2
Albus Severus Potter,2
Walburga Black,2
Charlie Weasley,2
Arthur Weasley,2
Eileen Prince,2
Tobias Snape,2
Pepper Potts,2
Weasley Family,2
Boa Hancock,1
Lee Jordan,1
L,1
Past Lily Evens Potter,1
Max Fried,1
Trafalgar D. Water Law,1
Relationships to be added,1
Charlus Potter,1
Dorea Black Potter,1
Lady Magic,1
Kylo Ren,1
Rey,1
Past Cecilia,1
Tom Riddle Sr.,1
Obi - Wan Kenobi,1
Qui - Gon Jinn,1
No Romantic Relationship,1
Theseus Scamander,1
Monford Velaryon,1
Eleni Hurst,1
Malcolm Hurst,1
Bill Weasley,1
Amamiya Ren,1
Okumura Haru,1
they are children!,1
Past James Potter,1
Arcturus Rigel Archie Black,1
