Not Beta Read,freq
Harry Potter,39
Draco Malfoy,32
Hermione Granger,28
Severus Snape,17
Tom Riddle,12
Credence Barebone,7
Original Percival Graves,7
Voldemort,6
Remus Lupin,4
James Potter,3
Sirius Black,3
Aurora Sinistra,3
Ginny Weasley,2
Bellatrix Black Lestrange,2
Reader,2
Newt Scamander,2
Albus Dumbledore,2
Antonin Dolohov,2
L,1
Past Lily Evens Potter,1
Loki ,1
Fenrir Greyback,1
Audrey Weasley,1
Percy Weasley,1
Lucius Malfoy,1
Severus Snape (One sided),1
Dick Grayson,1
Roy Harper,1
Ron Weasley,1
Carlisle Cullen,1
none,1
Harem,1
Bang Chan,1
Hwang Hyunjin,1
Anthony DiNozzo,1
Jethro Gibbs,1
Scorpius Malfoy,1
Theodore Nott,1
Original Female Character,1
Blaise Zabini,1
Eileen Prince,1
Tobias Snape,1
Original Male Character,1
Original Character,1
Lily Evans Potter,1
