Not Canon Compliant,freq
Harry Potter,359
Hermione Granger,285
Draco Malfoy,284
Sirius Black,129
Remus Lupin,111
none,99
Severus Snape,91
Original Female Character,81
James Potter,46
Tom Riddle,46
Ginny Weasley,37
Ron Weasley,36
Fred Weasley,32
Lily Evans Potter,31
Voldemort,30
Lucius Malfoy,30
Regulus Black,26
Luna Lovegood,25
Albus Severus Potter,20
Reader,18
Scorpius Malfoy,18
George Weasley,17
Neville Longbottom,15
Bellatrix Black Lestrange,15
Blaise Zabini,13
Theodore Nott,13
Albus Dumbledore,11
Original Character,11
Millicent Bulstrode,11
Newt Scamander,10
Steve Rogers,10
Percy Weasley,10
Adrian Pucey,9
Tony Stark,9
Pansy Parkinson,8
Marcus Flint,8
Charlie Weasley,8
Fleur Delacour,7
Narcissa Black Malfoy,7
James Bucky Barnes,7
Credence Barebone,7
Bill Weasley,7
Petunia Evans Dursley,7
Arthur Weasley,7
Astoria Greengrass,7
Cedric Diggory,7
Nymphadora Tonks,7
Original Percival Graves,7
Original Male Character,6
Viktor Krum,6
Molly Weasley,6
Loki ,6
Everyone,6
Minerva McGonagall,5
Oliver Wood,5
Gellert Grindelwald,5
Peter Pettigrew,4
Daphne Greengrass,4
Thor ,4
Bartemius Crouch Jr.,4
Hannah Abbott,4
Susan Bones,4
Darcy Lewis,4
Padma Patil,4
Lavender Brown,4
Cormac McLaggen,4
Peter Parker,3
Kingsley Shacklebolt,3
Vernon Dursley,3
Dean Thomas,3
Queenie Goldstein,3
Haruno Sakura,2
Annabeth Chase,2
Percy Jackson,2
Nico di Angelo,2
Gregory Goyle,2
Teddy Lupin,2
Cassius Warrington,2
Ianto Jones,2
Alice Longbottom,2
Natasha Romanov ,2
Jacob Black,2
James Sirius Potter,2
Emmett Cullen,2
Lily Evans,2
Thorfinn Rowle,2
Uchiha Itachi,2
Parvati Patil,2
Seamus Finnigan,2
OFC,2
Player Character,2
Dudley Dursley,2
Gabrielle Delacour,2
Andromeda Black Tonks,2
Tina Goldstein,2
Millicent,2
Ruby Potter,1
Kurusu Akira,1
Okumura Haru,1
Uchiha Sasuke,1
Uzumaki Naruto,1
