Not Canon Compliant,freq
Hermione Granger,85
Draco Malfoy,62
Harry Potter,55
Severus Snape,20
Sirius Black,18
Original Female Character,14
Remus Lupin,11
Lucius Malfoy,8
Ron Weasley,7
Regulus Black,6
Tom Riddle,6
James Potter,5
Voldemort,5
Fleur Delacour,4
Fred Weasley,4
Reader,4
Adrian Pucey,4
Marcus Flint,4
Narcissa Black Malfoy,4
Bellatrix Black Lestrange,4
Tony Stark,4
Theodore Nott,3
Albus Dumbledore,3
Charlie Weasley,3
Original Male Character,3
Lily Evans Potter,3
Bill Weasley,2
Newt Scamander,2
Viktor Krum,2
George Weasley,2
Steve Rogers,2
Credence Barebone,2
Original Percival Graves,2
Ginny Weasley,2
Arthur Weasley,2
Peter Pettigrew,1
Malachai Kai Parker,1
Minerva McGonagall,1
Anakin Skywalker,1
Rabastan Lestrange,1
Rodolphus Lestrange,1
Scabior,1
Death,1
Cassius Warrington,1
Albus Severus Potter,1
James Sirius Potter,1
Astoria Greengrass,1
Emmett Cullen,1
Molly Weasley,1
Legolas Greenleaf,1
Uchiha Itachi,1
Cedric Diggory,1
Cho Chang,1
Noah Puckerman,1
Jacob Black,1
Nick Fury,1
Kingsley Shacklebolt,1
Clark Kent,1
Scorpius Malfoy,1
Nymphadora Tonks,1
Blaise Zabini,1
Cornelius Fudge,1
Frodo Baggins,1
Glorfindel,1
Percy Weasley,1
Original Character,1
Armitage Hux,1
Dudley Dursley,1
Vernon Dursley,1
Alexandra Quick,1
Anna Chu,1
Darcy Lewis,1
Loki ,1
none,1
Cinderella&#39;s Father,1
Millicent Bulstrode,1
Akagami no Shanks | Red - Haired Shanks,1
Cormac McLaggen,1
Neville Longbottom,1
Poppy Pomfrey,1
