Not Epilogue Compliant,freq
Harry Potter,488
Draco Malfoy,442
Hermione Granger,291
Ginny Weasley,41
Ron Weasley,37
Severus Snape,35
Luna Lovegood,27
Blaise Zabini,25
none,24
Pansy Parkinson,23
Lucius Malfoy,17
Neville Longbottom,15
Charlie Weasley,14
Fred Weasley,13
Sirius Black,12
George Weasley,10
Theodore Nott,9
Percy Weasley,9
Narcissa Black Malfoy,8
Original Female Character,7
Fleur Delacour,7
Astoria Greengrass,7
Voldemort,7
Marcus Flint,6
Remus Lupin,5
Bellatrix Black Lestrange,5
Oliver Wood,5
Tom Riddle,4
Minerva McGonagall,4
Viktor Krum,4
Gregory Goyle,4
Tony Stark,4
Kingsley Shacklebolt,4
Daphne Greengrass,4
Bill Weasley,3
Cormac McLaggen,3
Teddy Lupin,3
Elsa (Disney),3
Reader,3
Original Male Character,2
Hannah Abbott,2
Susan Bones,2
Steve Rogers,2
Regulus Black,2
Pepper Potts,2
Padma Patil,2
Jasper Hale,2
Antonin Dolohov,2
Tracey Davis,2
The Defense Association,2
Arthur Pendragon (Merlin),2
Merlin,2
the da - Relationship,2
Gabrielle Delacour,2
Cho Chang,2
Caspian (Narnia),1
relationships come later - Relationship,1
Lavender Brown,1
Parvati Patil,1
Death,1
Thor ,1
Shane Walsh,1
The Wizarding World,1
Emma Swan,1
Seamus Finnigan,1
Ebony Dark&#39;ness Dementia Raven Way,1
Zacharias Smith,1
Chloe Decker,1
Lucifer Morningstar,1
Godric Gryffindor,1
James Bond,1
Q,1
Bruce Banner,1
Brahms Heelshire,1
James Bucky Barnes,1
None,1
Dudley Dursley,1
Daryl Dixon,1
unrequited Ron Weasley,1
James Potter,1
Lily Evans Potter,1
Bobby Singer,1
ship all,1
ship one,1
Cedric Diggory,1
Albus Severus Potter,1
James Sirius Potter,1
Dean Winchester,1
Fenrir Greyback,1
Jughead Jones,1
Minor or Background Relationship,1
Addison Montgomery,1
Mark Sloan,1
Justin Finch - Fletchley,1
Skylar Adams,1
Everyone,1
OFC,1
Andromeda Black Tonks,1
Ted Tonks,1
Tom Riddle | Harry Potter,1
Vincent Crabbe,1
