Not Epilogue Compliant,freq
Draco Malfoy,104
Harry Potter,93
Hermione Granger,78
Severus Snape,11
Ron Weasley,10
Pansy Parkinson,8
Lucius Malfoy,8
Neville Longbottom,5
Ginny Weasley,5
Blaise Zabini,5
Charlie Weasley,4
Remus Lupin,3
Voldemort,3
Fred Weasley,3
none,2
Theodore Nott,2
Bellatrix Black Lestrange,2
Narcissa Black Malfoy,2
Luna Lovegood,2
Bill Weasley,1
Shane Walsh,1
Astoria Greengrass,1
Gregory Goyle,1
Viktor Krum,1
Kingsley Shacklebolt,1
Antonin Dolohov,1
Cormac McLaggen,1
George Weasley,1
Tom Riddle | Harry Potter,1
