One Shot,freq
Draco Malfoy,656
Hermione Granger,634
Harry Potter,631
none,319
Remus Lupin,317
Sirius Black,315
Severus Snape,216
James Potter,118
Ginny Weasley,117
Lily Evans Potter,111
Reader,86
Bellatrix Black Lestrange,75
Original Female Character,70
Ron Weasley,70
Luna Lovegood,64
Scorpius Malfoy,58
Tom Riddle,57
Pansy Parkinson,56
Albus Dumbledore,54
Albus Severus Potter,41
Lucius Malfoy,40
Voldemort,39
Regulus Black,34
Fred Weasley,34
Gellert Grindelwald,31
Theodore Nott,27
George Weasley,26
Neville Longbottom,21
Blaise Zabini,21
Narcissa Black Malfoy,21
Charlie Weasley,20
Oliver Wood,18
Daphne Greengrass,17
Nymphadora Tonks,17
Fleur Delacour,16
Rose Weasley,16
Loki ,15
Astoria Greengrass,15
Original Character,14
Minerva McGonagall,14
Andromeda Black Tonks,13
Percy Weasley,13
Tony Stark,11
Original Male Character,11
Marlene McKinnon,9
Dean Thomas,9
Marcus Flint,9
Arthur Weasley,9
Petunia Evans Dursley,8
Bill Weasley,8
Dorcas Meadowes,8
Newt Scamander,8
Molly Weasley,8
Peter Pettigrew,8
Sherlock Holmes,8
Teddy Lupin,7
Seamus Finnigan,7
Dean Winchester,7
Cedric Diggory,7
Credence Barebone,7
Viktor Krum,7
Lily Luna Potter,7
Player Character (Hogwarts Mystery),5
Player Character,5
Katie Bell,5
Bartemius Crouch Jr.,5
Steve Rogers,5
Aurora Sinistra,5
Parvati Patil,4
Minor or Background Relationship,4
Fenrir Greyback,4
Gilderoy Lockhart,4
Angelina Johnson,4
Lavender Brown,4
wolfstar - Relationship,4
Tina Goldstein,4
Darcy Lewis,4
Salazar Slytherin,4
Padma Patil,4
Ben Copper,4
Adrian Pucey,3
Nico di Angelo,3
Will Solace,3
Dobby,3
Geralt z Rivii | Geralt of Rivia,3
Reborn (Katekyou Hitman Reborn!),3
James Sirius Potter,3
Nick Miller,3
John Watson,3
Percy Jackson,3
Lily Evans,3
No Romantic Relationship,3
Original Percival Graves,3
Ted Tonks,3
Cormac McLaggen,3
Jaskier | Dandelion,2
Xenophilius Lovegood,2
Tracey Davis,2
Lee Jordan,2
None,2
Poppy Pomfrey,2
