One Shot,freq
Hermione Granger,151
Draco Malfoy,119
Harry Potter,93
Severus Snape,56
Bellatrix Black Lestrange,28
Remus Lupin,26
Sirius Black,25
Pansy Parkinson,13
Ron Weasley,12
Ginny Weasley,12
Original Female Character,11
Luna Lovegood,9
Lucius Malfoy,8
Charlie Weasley,7
Blaise Zabini,7
Voldemort,7
Reader,6
George Weasley,6
James Potter,5
Lily Evans Potter,5
Tom Riddle,5
Aurora Sinistra,5
Theodore Nott,5
none,4
Neville Longbottom,4
Albus Dumbledore,3
Loki ,3
Marcus Flint,3
Narcissa Black Malfoy,3
Fred Weasley,3
Daphne Greengrass,2
Tony Stark,2
Septima Vector,2
Oliver Wood,2
Credence Barebone,2
Original Percival Graves,2
Fleur Delacour,2
Horace Slughorn,2
Dean Winchester,2
Padma Patil,2
Percy Weasley,2
Nymphadora Tonks,2
Gellert Grindelwald,2
harry potter x reader - Relationship,1
Sarah Williams,1
Adrian Pucey,1
Cassius Warrington,1
Player Character,1
Rowan Khanna,1
Jack Sparrow,1
Andromeda Black Tonks,1
Astoria Greengrass,1
Sherlock Holmes,1
Alice Longbottom,1
Asami Ryuichi,1
Bartemius Crouch Jr.,1
Original Character,1
Dolan,1
Harrison,1
Mrs Zabini,1
Thor ,1
James Sirius Potter,1
Teddy Lupin,1
Unrequited Lily Evan Potter,1
Audrey Weasley,1
Alcide Herveaux,1
Rodolphus Lestrange,1
Thorfinn Rowle,1
Moaning Myrtle,1
Penelope Clearwater,1
Nico di Angelo,1
Will Solace,1
Cormac McLaggen,1
Lily Evans,1
Jim Pickens,1
Rubeus Hagrid,1
Basilisk,1
The Sorting Hat,1
Fenrir Greyback,1
everyone,1
peeves,1
Undisclosed,1
