Oral Sex,freq
Harry Potter,719
Hermione Granger,564
Draco Malfoy,544
Severus Snape,243
Sirius Black,142
Remus Lupin,135
Ginny Weasley,74
Ron Weasley,67
Original Female Character,64
Reader,62
Lucius Malfoy,61
Tom Riddle,50
Pansy Parkinson,47
Neville Longbottom,33
Charlie Weasley,28
Voldemort,27
Narcissa Black Malfoy,27
Fred Weasley,26
Theodore Nott,25
Lily Evans Potter,24
Daphne Greengrass,23
James Potter,23
Nymphadora Tonks,21
Luna Lovegood,20
Original Percival Graves,20
Bellatrix Black Lestrange,19
Blaise Zabini,19
Fleur Delacour,18
George Weasley,18
none,16
James Sirius Potter,16
Teddy Lupin,14
Credence Barebone,13
Original Male Character,12
Bill Weasley,11
Newt Scamander,11
Rose Weasley,11
Viktor Krum,10
Albus Severus Potter,10
Albus Dumbledore,10
Scorpius Malfoy,9
Original Character,8
Gellert Grindelwald,8
Oliver Wood,7
Lily Luna Potter,7
Natasha Romanov ,7
Horace Slughorn,7
Player Character,7
Percy Weasley,7
Angelina Johnson,6
Cedric Diggory,6
Edward (Anita Blake),6
Marcus Flint,6
Seamus Finnigan,6
Cormac McLaggen,6
Tony Stark,6
Arthur Weasley,6
Regulus Black,5
Micah Callahan,5
Player Character (Hogwarts Mystery),5
Other,5
Loki ,5
Aurora Sinistra,5
Jean - Claude (Anita Blake),4
Thorfinn Rowle,4
Colin Creevey,4
Minerva McGonagall,4
Hannah Abbott,4
Antonin Dolohov,4
Molly Weasley,4
Tina Goldstein,4
Penny Haywood,3
Lavender Brown,3
Marlene McKinnon,3
Susan Bones,3
Dean Thomas,3
Kingsley Shacklebolt,3
Astoria Greengrass,3
Bartemius Crouch Jr.,3
Theseus Scamander,3
Alicia Spinnet,3
Albus,3
James,3
Scorpius,3
Teddy,3
Victoire Weasley,3
Kreacher,3
Steve Rogers,3
Barnaby Lee,3
Prince Charmont (Ella Enchanted),2
Dorcas Meadowes,2
Sybill Trelawney,2
Jae Kim,2
Chiara Lobosca,2
Parvati Patil,2
Astoria Malfoy,2
Petunia Evans Dursley,2
Buffy Summers,2
Harry,2
Dominique Weasley,2
Fenrir Greyback,2
