Original Character(s),freq
Harry Potter,242
none,224
Draco Malfoy,207
Original Female Character,202
Hermione Granger,109
Sirius Black,78
Remus Lupin,75
Severus Snape,65
Original Character,49
Original Male Character,42
James Potter,36
Lily Evans Potter,31
Tom Riddle,27
Ron Weasley,26
Fred Weasley,25
Lucius Malfoy,22
George Weasley,22
Ginny Weasley,20
Reader,18
Newt Scamander,17
Voldemort,16
Narcissa Black Malfoy,15
Cedric Diggory,13
Regulus Black,11
Pansy Parkinson,11
Bellatrix Black Lestrange,11
Scorpius Malfoy,10
Blaise Zabini,9
Original Percival Graves,9
Nymphadora Tonks,8
Albus Dumbledore,8
Theodore Nott,7
Luna Lovegood,7
Albus Severus Potter,7
James Sirius Potter,7
Charlie Weasley,6
Neville Longbottom,6
Gellert Grindelwald,6
Oliver Wood,6
Peter Pettigrew,5
No Romantic Relationship,5
Other,4
Tina Goldstein,4
Teddy Lupin,4
Victoire Weasley,4
Fleur Delacour,4
Percy Jackson,4
Other Relationship Tags to Be Added,4
Percy Weasley,4
Arthur Pendragon (Merlin),3
Merlin,3
Arthur Weasley,3
Annabeth Chase,3
Rose Weasley,3
Andromeda Black Tonks,3
Original Non - Binary Character,3
Astoria Greengrass,3
Bartemius Crouch Jr.,3
Adelaide Lemaire (Original Character),3
Godric Gryffindor,3
Salazar Slytherin,3
Aziraphale,2
Crowley ,2
Angel Dust (Hazbin Hotel),2
Molly Weasley,2
oc,2
Bill Weasley,2
Rey,2
Death,2
Lily Luna Potter,2
Marlene McKinnon,2
Sherlock Holmes,2
Dudley Dursley,2
Original Characters,2
Orignal Character,2
Daphne Greengrass,2
Tony Stark,2
Dick Grayson,2
Gideon Prewett,2
Castiel,2
Dean Thomas,2
Theseus Scamander,2
Asami Ryuichi,2
Cassandra Burke Goyle (Original Character),2
Petunia Evans Dursley,2
Fenrir Greyback,2
James Caspian (Original Character),1
Lorcan Scamander,1
Dahlia Gaunt,1
Regulus black,1
Henry Emily,1
William Afton | Dave Miller,1
Bellamy Blake,1
Eventual Sam Winchester,1
Min Yoongi | Suga,1
Female Harry Potter,1
Peter Hale,1
I don&#39;t know yet I&#39;m just going to go with the flow,1
Emma Lupin,1
just a bit of romance but nothing graphic,1
Bruce Wayne,1
