Original Character(s),freq
Harry Potter,51
Draco Malfoy,32
Hermione Granger,31
Severus Snape,25
Original Female Character,23
Remus Lupin,11
none,9
Sirius Black,8
Original Male Character,8
Voldemort,6
Ron Weasley,4
Newt Scamander,4
Original Percival Graves,4
Bellatrix Black Lestrange,4
Tom Riddle,4
Fred Weasley,3
Reader,3
Ginny Weasley,3
James Potter,3
Other,2
Theodore Nott,2
Narcissa Black Malfoy,2
George Weasley,2
Original Character,2
Asami Ryuichi,2
Cassandra Burke Goyle (Original Character),2
Nymphadora Tonks,1
Bellamy Blake,1
Angel Dust (Hazbin Hotel),1
Min Yoongi | Suga,1
Arthur Weasley,1
Molly Weasley,1
Lily Evans Potter,1
Harry Hart | Galahad,1
Gomez Addams,1
Morticia Addams,1
Slytherin Students,1
oc,1
theo nott,1
James Sirius Potter,1
Amity Blight,1
Luz Noceda,1
Original Characters,1
Hatake Kakashi,1
Lucius Malfoy,1
Fleur Delacour,1
Bartemius Crouch Jr.,1
Cedric Diggory,1
Edward (Anita Blake),1
Micah Callahan,1
Charlie Weasley,1
Bernard Granger,1
Jane Stirling,1
Pansy Parkinson,1
Tsu&#39;tey te Rongloa Ateyitan,1
Lily Luna Potter,1
Richard B. Riddick,1
Padma Patil,1
Percy Weasley,1
Luna Lovegood,1
Horace Slughorn,1
Sesshomaru,1
Aurora Sinistra,1
Fenrir Greyback,1
Emmett Cullen,1
Albus Severus Potter,1
Scorpius Malfoy,1
Albus Dumbledore,1
Gellert Grindelwald,1
