POV Harry Potter,freq
Harry Potter,722
Draco Malfoy,473
Severus Snape,62
Hermione Granger,48
none,40
Tom Riddle,36
Ron Weasley,32
Voldemort,25
Sirius Black,19
Ginny Weasley,18
Remus Lupin,13
Regulus Black,9
Luna Lovegood,8
Theodore Nott,7
Neville Longbottom,6
Blaise Zabini,6
Pansy Parkinson,6
Fred Weasley,5
George Weasley,5
Teddy Lupin,5
Original Female Character,5
Reader,5
James Potter,4
James Bucky Barnes,4
Daphne Greengrass,4
Cedric Diggory,4
Bill Weasley,3
Lily Evans Potter,3
Arthur Weasley,3
Lucius Malfoy,3
Petunia Evans Dursley,3
Vernon Dursley,3
Original Character,2
Nymphadora Tonks,2
Molly Weasley,2
Narcissa Black Malfoy,2
Albus Dumbledore,2
Scorpius Malfoy,2
Charlie Weasley,2
Gryffindor Students,1
Dobby,1
Other Relationship Tags to Be Added,1
Emmeline Vance,1
Monford Velaryon,1
Percy Jackson,1
John Watson,1
Sherlock Holmes,1
Other,1
Weasley Family,1
None,1
Avengers Team,1
Dean Thomas,1
Ernie Macmillan,1
Hannah Abbott,1
Justin Finch - Fletchley,1
Susan Bones,1
Original Male Character,1
Death,1
Ginny,1
Harry,1
Gilderoy Lockhart,1
the Dursley Family,1
Gary Eggsy Unwin,1
Remus Lupin (implied),1
Marcus Flint,1
Oliver Wood,1
Snamione - Relationship,1
Gellert Grindelwald,1
Lily Luna Potter,1
Parvati Patil,1
Galatea Cressida Rosier,1
Drarry - Relationship,1
Fenrisúlfr | Fenrir,1
Hel | Hela (Norse Religion,1
Lore),1
Hermione,1
Ron,1
Astoria Greengrass,1
Nara Skimamaru,1
Sam Winchester,1
Cho Chang,1
Dudley Dursley,1
Addams Family,1
