Panic Attacks,freq
Draco Malfoy,62
Harry Potter,61
Hermione Granger,24
Severus Snape,17
Sirius Black,7
Remus Lupin,7
Ron Weasley,4
Original Percival Graves,4
Tom Riddle,4
Original Female Character,3
Lucius Malfoy,3
Credence Barebone,3
Voldemort,3
Pansy Parkinson,2
Bellatrix Black Lestrange,2
Ginny Weasley,2
Regulus Black,1
Daphne Greengrass,1
Marcus Flint,1
Reader,1
Theodore Nott,1
Lily Evans,1
Neville Longbottom,1
Original Character,1
Albus Dumbledore,1
Jeon Jungkook,1
Park Jimin,1
Tony Stark,1
Alastor Moody,1
Percy Weasley,1
James Sirius Potter,1
Teddy Lupin,1
Fenrir Greyback,1
Lily Evans Potter,1
Gellert Grindelwald,1
