Pining,freq
Draco Malfoy,713
Harry Potter,655
Sirius Black,325
Hermione Granger,317
Remus Lupin,302
James Potter,95
Severus Snape,72
Scorpius Malfoy,58
Original Female Character,52
Lily Evans Potter,50
Albus Severus Potter,49
Ron Weasley,47
Reader,43
Ginny Weasley,42
Tom Riddle,33
Pansy Parkinson,32
Fred Weasley,31
Neville Longbottom,29
Oliver Wood,27
James Sirius Potter,25
Luna Lovegood,23
Teddy Lupin,23
Regulus Black,22
Theodore Nott,22
George Weasley,19
Marcus Flint,16
Charlie Weasley,16
Voldemort,13
Marlene McKinnon,13
Newt Scamander,12
Lavender Brown,11
Blaise Zabini,11
Dean Thomas,9
Bill Weasley,9
Percy Weasley,9
Original Percival Graves,9
Seamus Finnigan,8
none,8
Rose Weasley,8
Parvati Patil,8
Fleur Delacour,8
Albus Dumbledore,7
Dorcas Meadowes,7
Original Male Character,7
Lucius Malfoy,6
Nymphadora Tonks,6
Drarry - Relationship,6
Gellert Grindelwald,5
Angelina Johnson,5
Cho Chang,5
Astoria Greengrass,5
Narcissa Black Malfoy,5
Kylo Ren,4
Rey,4
Tony Stark,4
Leo Knut,4
Original Character,4
Viktor Krum,4
Cedric Diggory,4
Credence Barebone,4
Peter Pettigrew,3
Other,3
Alice Longbottom,3
Hannah Abbott,3
Dudley Dursley,3
Isaac Goldstein (Original Character),3
Maximus Scamander (Original Character),3
Victoire Weasley,3
Bellatrix Black Lestrange,3
Arthur Weasley,3
Keith,3
Millicent Bulstrode,3
Annabeth Chase,3
Percy Jackson,3
Finn O&#39;Hara,3
Logan Tremblay,3
Daphne Greengrass,3
Salazar Slytherin,3
Cormac McLaggen,3
Zuko (Avatar),2
o&#39;knutzy - Relationship,2
Luke Deveaux,2
Saint (lumosinlove),2
Mary Macdonald,2
Alicia Spinnet,2
Theseus Scamander,2
Katie Bell,2
Iwaizumi Hajime,2
Oikawa Tooru,2
Crowley ,2
Clay | Dream,2
GeorgeNotFound (Video Blogging RPF),2
Arthur Pendragon (Merlin),2
Merlin,2
Shiro (Voltron),2
Dabi,2
Takami Keigo | Hawks,2
Sherlock Holmes,2
Dean Winchester,2
Lily Luna Potter,2
Marietta Edgecombe,2
