Pining,freq
Draco Malfoy,193
Harry Potter,168
Hermione Granger,83
Sirius Black,27
Severus Snape,24
Remus Lupin,21
Teddy Lupin,11
James Sirius Potter,10
Ron Weasley,9
Albus Severus Potter,9
James Potter,8
Theodore Nott,8
Scorpius Malfoy,8
Neville Longbottom,7
Pansy Parkinson,7
Original Female Character,6
Marcus Flint,6
Oliver Wood,6
Bill Weasley,5
Fred Weasley,5
Luna Lovegood,4
Blaise Zabini,4
Narcissa Black Malfoy,3
George Weasley,3
Reader,3
Ginny Weasley,3
Lucius Malfoy,3
Kylo Ren,2
Rey,2
Tony Stark,2
Lavender Brown,2
Viktor Krum,2
Lily Evans Potter,2
Charlie Weasley,2
Sherlock Holmes,2
Newt Scamander,2
Original Percival Graves,2
Angelina Johnson,2
Cormac McLaggen,2
Nymphadora Tonks,2
Tom Riddle,2
Voldemort,2
Peter Pettigrew,1
Other,1
Shelby Goodkind,1
Toni Shalifoe,1
Harry Hart | Galahad,1
Jae Kim,1
Player Character (Hogwarts Mystery),1
Harry Styles,1
Louis Tomlinson,1
Peter Parker,1
oc,1
theo nott,1
Marlene McKinnon,1
OMC,1
Parvati Patil,1
Albus Dumbledore,1
Theseus Scamander,1
Jason Isaacs,1
Tom Felton,1
Regulus Black,1
Dean Thomas,1
Seamus Finnigan,1
o&#39;knutzy - Relationship,1
Dean Winchester,1
Alice Longbottom,1
Fleur Delacour,1
Albus,1
James,1
Scorpius,1
Teddy,1
Anakin Skywalker,1
Obi - Wan Kenobi,1
James Potter (unrequited),1
Credence Barebone,1
none,1
Finn O&#39;Hara,1
Leo Knut,1
Moaning Myrtle,1
Cedric Diggory,1
John Watson,1
Xiǎo Xīngchén,1
Xuē Yáng | Xuē Chéngměi,1
Millicent Bulstrode,1
Drarry - Relationship,1
Jade Thirlwall,1
Perrie Edwards,1
