Post - Canon,freq
Harry Potter,60
Draco Malfoy,50
Hermione Granger,38
Severus Snape,17
Ginny Weasley,8
Lucius Malfoy,8
Original Female Character,5
Neville Longbottom,4
Tom Riddle,4
Sirius Black,4
Albus Dumbledore,4
Ron Weasley,3
Lavender Brown,3
Pansy Parkinson,3
Luna Lovegood,3
Fred Weasley,2
Albus Severus Potter,2
Andromeda Black Tonks,2
Ernie Macmillan,2
George Weasley,2
Voldemort,2
Charlie Weasley,2
Credence Barebone,2
Theodore Nott,1
Minerva McGonagall,1
Scorpius Malfoy,1
Gellert Grindelwald,1
Justin Finch - Fletchley,1
Susan Bones,1
Fleur Delacour,1
ginny weasley,1
wade winston wilson (deadpool),1
Astoria Greengrass,1
Marcus Flint,1
Oliver Wood,1
Bellatrix Black Lestrange,1
Енисей Синичкин,1
Камиль Талалаев,1
Roger Davies,1
Remus Lupin,1
Илья Мамонтов (Мамонт),1
Мирослав Совков,1
Виктория Потякайло,1
Евгений Ганапольский,1
Parvati Patil,1
Padma Patil,1
Blaise Zabini,1
Percival Graves | Gellert Grindelwald,1
Barnaby Lee,1
Arthur Pendragon (Merlin),1
Merlin,1
none,1
James Sirius Potter,1
Lily Luna Potter,1
Arthur Weasley,1
Cedric Diggory,1
Original Percival Graves,1
